t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17748850.0,83951998.4,429536409
1.0,S,34,8.88,4.26,17748850.0,83952000.1,429536432
2.0,S,34,19.33,9.50,17748850.0,83952001.2,429536443
3.0,S,34,29.58,14.90,17748850.0,83952001.4,429536446
4.0,S,34,40.11,20.03,17748850.0,83952001.5,429536446
5.0,S,34,50.74,25.16,17748850.0,83952001.7,429536450
6.0,S,34,61.17,30.49,17748850.0,83952002.3,429536454
7.0,S,38,70.96,34.74,17748850.0,83952066.9,429536642
8.0,S,34,82.28,39.71,17748850.0,83952124.2,429536786
9.0,S,38,93.75,44.59,17748850.0,83952205.2,429536866
10.0,S,35,106.36,49.65,17748850.1,83952275.5,429536938
11.0,S,39,118.71,54.41,17748850.1,83952376.5,429537029
12.0,S,35,133.97,59.52,17748850.1,83952462.5,429537113
13.0,S,35,146.36,64.85,17748850.1,83952463.1,429537115
14.0,S,34,152.84,67.53,17748850.1,83952630.8,429537732
15.0,S,41,165.37,70.81,17748850.1,83952715.0,429538051
16.0,S,39,181.51,75.33,17748850.1,83952793.8,429538364
17.0,S,36,194.35,79.98,17748850.1,83952838.8,429538531
18.0,S,36,207.79,85.30,17748850.1,83952839.1,429538532
19.0,S,40,219.90,88.72,17748850.1,83952932.2,429538889
20.0,S,37,229.02,91.92,17748850.1,83953141.8,429539711
21.0,S,40,241.08,96.45,17748850.1,83953207.1,429539979
22.0,S,39,254.83,100.32,17748850.1,83953299.2,429540309
23.0,S,43,274.33,105.00,17748850.1,83953325.5,429540412
24.0,S,39,290.88,109.68,17748850.1,83953402.2,429540671
25.0,S,39,307.11,114.64,17748850.1,83953472.9,429540824
26.1,S,38,320.39,119.23,17748850.1,83953822.0,429541272
27.1,S,37,332.26,123.25,17748850.1,83953975.7,429541844
28.1,S,37,346.84,128.39,17748850.1,83953976.3,429541846
29.1,S,36,356.53,131.64,17748850.1,83954098.6,429542331
30.1,S,40,373.35,136.47,17748850.1,83954126.4,429542444
31.1,S,36,385.11,140.62,17748850.1,83954313.6,429543101
32.1,S,40,396.95,145.01,17748850.1,83954417.1,429543491
33.1,S,43,410.46,148.44,17748850.1,83954525.6,429543905
34.1,S,43,428.30,152.98,17748850.1,83954587.3,429544110
35.1,S,39,445.44,158.15,17748850.1,83954612.6,429544277
36.1,S,39,459.88,162.58,17748850.1,83954699.4,429544604
37.1,S,39,471.58,166.12,17748850.1,83955087.9,429545100
38.1,S,38,489.13,171.31,17748850.1,83955187.8,429545365
39.1,S,37,503.50,176.74,17748850.1,83955188.7,429545368
40.1,S,37,514.69,180.42,17748850.1,83955271.4,429545680
41.1,S,41,529.14,184.26,17748850.1,83955366.3,429546090
42.1,S,37,543.63,189.11,17748850.1,83955540.7,429546757
43.1,S,40,556.52,193.98,17748850.1,83955640.7,429547140
44.1,S,44,569.75,197.31,17748850.1,83955743.9,429547531
45.1,S,44,591.25,202.33,17748850.1,83955771.5,429547608
46.1,S,40,608.16,207.16,17748850.1,83955842.1,429547787
47.1,S,40,624.19,212.02,17748850.1,83955968.6,429548153
48.1,S,38,633.47,215.06,17748850.1,83956304.9,429548886
49.1,S,35,648.22,220.18,17748850.1,83956422.1,429548990
50.1,S,34,659.70,225.56,17748850.1,83956444.8,429549015
51.1,S,38,670.14,230.27,17748850.1,83956548.0,429549148
52.1,S,38,684.03,234.91,17748850.1,83956614.1,429549344
53.1,S,34,695.72,239.99,17748850.1,83956700.7,429549607
54.1,S,38,703.42,243.40,17748850.1,83956803.6,429549959
55.1,S,38,718.63,248.45,17748850.1,83956828.6,429550041
56.3,S,34,729.52,253.32,17748850.1,83956910.5,429550401
57.3,S,41,743.64,258.02,17748850.1,83956995.0,429550646
58.3,S,45,763.88,262.43,17748850.1,83957046.6,429550800
59.3,S,41,782.83,267.13,17748850.1,83957134.6,429551063
60.3,S,41,801.46,272.00,17748850.1,83957175.3,429551173
61.3,S,41,815.55,275.39,17748850.1,83957260.9,429551558
62.5,S,45,835.35,279.73,17748850.1,83957431.6,429552148
63.5,S,41,853.65,284.69,17748850.1,83957537.9,429552536
64.5,S,35,866.91,289.32,17748850.1,83957935.6,429552997
65.5,S,34,874.30,292.65,17748850.1,83958072.8,429553443
66.5,S,38,889.75,297.66,17748850.1,83958095.4,429553514
67.5,S,34,900.61,302.26,17748850.1,83958161.9,429553762
68.5,S,34,910.29,306.33,17748850.1,83958227.8,429553956
69.5,S,38,923.39,310.80,17748850.1,83958330.2,429554264
70.5,S,34,933.54,315.13,17748850.1,83958418.4,429554595
71.5,S,34,945.18,320.26,17748850.1,83958418.6,429554596
72.5,S,38,954.90,323.46,17748850.1,83958521.9,429554977
73.5,S,34,966.71,328.20,17748850.1,83958609.7,429555291
74.5,S,34,977.85,333.49,17748850.1,83958674.4,429555521
75.5,S,38,987.23,336.89,17748850.1,83958777.1,429555858
76.5,D,17,997.84,340.48,17748850.1,83958867.2,429556136
