t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17765727.5,85015735.3,433070017
1.0,S,42,9.58,4.25,17765727.5,85015736.8,433070038
2.0,S,42,20.32,9.40,17765727.5,85015736.9,433070040
3.0,S,42,31.21,14.38,17765727.5,85015737.2,433070042
4.0,S,42,41.88,19.54,17765727.5,85015737.6,433070044
5.0,S,42,52.54,24.72,17765727.5,85015737.9,433070047
6.0,S,46,63.18,29.56,17765727.5,85015851.7,433070148
7.0,S,42,75.80,34.67,17765727.5,85015912.4,433070206
8.0,S,46,87.88,39.25,17765727.5,85015977.0,433070267
9.0,S,43,101.47,44.36,17765727.5,85016058.0,433070347
10.0,S,47,115.23,48.89,17765727.5,85016142.4,433070425
11.0,S,43,130.08,53.61,17765727.5,85016326.5,433070601
12.0,S,43,143.07,58.53,17765727.5,85016326.7,433070603
13.0,S,47,158.54,63.48,17765727.5,85016424.5,433070698
14.0,S,45,174.56,68.96,17765727.5,85016593.7,433070850
15.0,S,45,189.58,73.81,17765727.5,85016594.1,433070854
16.0,S,48,204.23,78.50,17765727.5,85016749.6,433070997
17.0,S,44,219.86,83.67,17765727.5,85016837.1,433071078
18.0,S,43,232.55,88.61,17765727.5,85017029.7,433071246
19.0,S,52,251.24,93.00,17765727.5,85017130.8,433071344
20.0,S,48,269.06,98.05,17765727.5,85017223.8,433071430
21.0,S,48,286.81,103.26,17765727.5,85017224.1,433071433
22.0,S,51,305.12,107.53,17765727.5,85017372.5,433071564
23.0,S,47,323.41,112.61,17765727.5,85017526.2,433071712
24.0,S,42,336.13,117.76,17765727.5,85017858.1,433072002
25.0,S,55,356.19,122.51,17765727.5,85017964.3,433072104
26.0,S,51,380.27,127.31,17765727.5,85018062.8,433072190
27.0,S,51,401.39,132.15,17765727.5,85018063.8,433072200
28.0,S,54,420.80,136.77,17765727.5,85018203.8,433072328
29.0,S,52,443.14,141.52,17765727.5,85018398.5,433072508
30.0,S,47,456.42,145.17,17765727.5,85018650.8,433072961
31.0,S,42,462.73,148.02,17765727.5,85018879.3,433073595
32.0,S,55,482.76,152.59,17765727.5,85018982.5,433073689
33.0,S,53,506.82,157.36,17765727.5,85019031.5,433073739
34.0,S,51,527.83,162.53,17765727.5,85019079.5,433073783
35.0,S,50,547.65,167.79,17765727.5,85019114.1,433073814
36.0,S,53,568.76,172.39,17765727.5,85019282.1,433073962
37.0,S,45,587.02,177.41,17765727.5,85019701.8,433074326
38.0,S,51,603.23,182.47,17765727.5,85019897.4,433074511
39.0,S,55,625.09,186.85,17765727.5,85020001.2,433074613
40.0,S,53,649.12,191.59,17765727.5,85020105.7,433074703
41.0,S,50,669.15,196.46,17765727.5,85020163.4,433074764
42.0,S,50,688.32,201.44,17765727.5,85020251.9,433074845
43.0,S,51,708.85,206.00,17765727.5,85020485.3,433075056
44.0,S,47,722.74,210.77,17765727.5,85020904.5,433075420
45.0,S,47,739.35,216.09,17765727.5,85020905.3,433075425
46.0,S,51,757.74,220.68,17765727.5,85021008.4,433075518
47.0,S,47,775.81,225.62,17765727.5,85021104.4,433075614
48.0,S,47,792.53,230.69,17765727.5,85021304.2,433075783
49.0,S,47,806.97,235.01,17765727.5,85021579.6,433076031
50.0,S,42,820.77,239.83,17765727.5,85021690.9,433076134
51.0,S,42,832.57,244.90,17765727.5,85021691.4,433076136
52.0,S,46,846.26,249.30,17765727.5,85021794.5,433076233
53.0,S,42,858.97,254.27,17765727.5,85021913.8,433076339
54.0,S,46,869.62,258.90,17765727.5,85022059.5,433076476
55.0,S,46,884.91,263.90,17765727.5,85022131.6,433076541
56.0,S,42,897.35,268.73,17765727.5,85022156.2,433076571
57.0,S,56,910.19,273.25,17765727.5,85022318.2,433076726
58.0,S,53,934.75,277.86,17765727.5,85022390.6,433076789
59.0,S,52,956.86,282.89,17765727.5,85022416.0,433076817
60.0,S,52,979.00,287.72,17765727.5,85022416.2,433076819
61.0,S,56,994.44,289.63,17765727.5,85022687.3,433077533
62.0,S,52,1018.07,294.28,17765727.5,85023020.2,433077824
63.0,S,42,1032.23,299.36,17765727.5,85023322.8,433078098
64.0,S,46,1043.80,303.90,17765727.5,85023425.8,433078191
65.0,S,42,1058.67,308.89,17765727.5,85023523.0,433078287
66.0,S,42,1070.36,314.07,17765727.5,85023523.8,433078293
67.0,S,46,1083.04,318.68,17765727.5,85023691.4,433078444
68.0,S,42,1096.37,323.61,17765727.5,85023787.3,433078529
69.0,S,42,1108.24,328.56,17765727.5,85023787.6,433078532
70.0,S,46,1122.51,333.16,17765727.5,85023890.7,433078626
71.0,S,42,1134.49,338.07,17765727.5,85024038.6,433078765
72.0,S,61,1155.26,342.58,17765727.5,85024154.6,433078874
73.1,S,61,1185.83,347.37,17765727.5,85024155.0,433078879
74.1,S,57,1214.25,351.90,17765727.5,85024251.1,433078966
75.1,S,57,1241.51,356.51,17765727.5,85024361.4,433079063
76.1,S,57,1267.07,360.58,17765727.5,85024591.3,433079274
77.1,S,60,1296.57,365.08,17765727.5,85024671.7,433079346
78.1,S,57,1321.70,369.61,17765727.5,85024767.3,433079896
79.1,S,42,1329.38,373.42,17765727.5,85025536.6,433080800
80.1,S,46,1340.97,378.27,17765727.5,85025639.8,433080897
81.1,S,42,1355.39,383.24,17765727.5,85025736.8,433080988
82.1,S,42,1367.21,388.27,17765727.5,85025737.4,433080990
83.1,S,46,1380.53,392.82,17765727.5,85025840.3,433081085
84.1,S,42,1393.69,397.74,17765727.5,85026000.6,433081237
85.1,S,46,1404.33,402.30,17765727.5,85026103.6,433081330
86.1,S,46,1419.81,407.23,17765727.5,85026175.6,433081393
87.1,S,42,1432.09,412.14,17765727.5,85026200.7,433081420
88.1,S,61,1444.58,416.57,17765727.5,85026370.4,433081579
89.1,S,58,1474.41,421.32,17765727.5,85026466.1,433081664
90.1,S,57,1501.99,425.78,17765727.5,85026467.5,433081668
91.1,S,57,1529.53,430.11,17765727.5,85026467.8,433081678
92.1,S,61,1557.71,434.38,17765727.5,85026686.8,433081874
93.1,S,57,1587.67,439.14,17765727.5,85026841.6,433082018
94.1,S,57,1615.34,443.38,17765727.5,85026842.3,433082021
95.1,S,57,1642.41,448.13,17765727.5,85026945.2,433082112
96.1,S,59,1667.38,451.86,17765727.5,85027296.1,433082427
97.1,S,59,1693.63,456.76,17765727.5,85027445.8,433083288
98.1,S,42,1700.19,460.12,17765727.5,85028352.2,433084120
99.1,S,46,1711.04,464.62,17765727.5,85028456.3,433084216
100.1,S,46,1726.26,469.65,17765727.5,85028535.3,433084283
101.1,S,42,1737.99,474.70,17765727.5,85028552.7,433084303
102.1,S,42,1745.01,477.68,17765727.5,85028597.7,433084726
103.1,S,46,1752.30,479.90,17765727.5,85028719.4,433085262
104.1,S,42,1766.16,484.66,17765727.5,85028815.5,433085347
105.1,S,42,1777.39,489.57,17765727.5,85028867.6,433085394
106.1,S,46,1792.36,494.44,17765727.5,85028919.0,433085443
107.1,S,42,1804.06,499.41,17765727.5,85029079.4,433085586
108.1,S,46,1815.86,503.98,17765727.5,85029183.0,433085676
109.1,S,42,1830.32,508.88,17765727.5,85029279.3,433085763
110.1,S,42,1842.13,513.95,17765727.5,85029279.7,433085766
111.1,S,46,1855.13,518.59,17765727.5,85029382.4,433085864
112.1,S,42,1868.58,523.67,17765727.5,85029542.9,433086020
113.1,S,42,1880.36,528.68,17765727.5,85029569.9,433086051
114.1,S,61,1900.67,533.31,17765727.5,85029675.0,433086145
115.1,S,57,1929.09,538.03,17765727.5,85029771.5,433086233
116.1,S,57,1956.25,542.77,17765727.5,85029772.3,433086235
117.1,S,61,1982.36,547.09,17765727.5,85029875.1,433086329
118.1,S,61,2012.75,551.82,17765727.5,85030001.0,433086440
119.1,S,57,2041.11,556.34,17765727.5,85030097.2,433086526
120.1,S,57,2068.18,561.12,17765727.5,85030229.5,433086645
121.1,S,57,2095.15,565.92,17765727.5,85030458.7,433086842
122.1,S,61,2123.62,570.05,17765727.5,85030651.5,433087014
123.1,S,57,2152.06,574.70,17765727.5,85030747.6,433087107
124.1,S,57,2178.43,579.36,17765727.5,85030892.0,433087616
125.1,S,56,2203.47,584.13,17765727.5,85031144.1,433088077
126.1,S,57,2226.93,588.37,17765727.5,85031838.7,433088675
127.1,S,42,2241.90,593.17,17765727.5,85032467.0,433089239
128.1,S,42,2253.82,598.22,17765727.5,85032468.0,433089243
129.1,S,46,2267.00,602.68,17765727.5,85032571.2,433089340
130.1,S,42,2279.98,607.63,17765727.5,85032668.7,433089425
131.1,S,42,2291.75,612.66,17765727.5,85032733.2,433089485
132.1,S,46,2306.30,616.95,17765727.5,85032836.0,433089581
133.1,S,42,2318.05,621.86,17765727.5,85032932.2,433089667
134.1,S,46,2330.03,626.40,17765727.5,85033035.2,433089760
135.1,S,43,2344.14,631.38,17765727.5,85033189.8,433090116
136.1,S,42,2355.87,636.54,17765727.5,85033196.3,433090672
137.1,S,46,2368.94,641.14,17765727.5,85033299.3,433090765
138.1,S,42,2382.22,646.02,17765727.5,85033395.5,433090853
139.1,S,42,2393.96,651.10,17765727.5,85033460.3,433090910
140.1,S,46,2408.20,655.65,17765727.5,85033563.2,433091006
141.1,S,42,2420.31,660.38,17765727.5,85033659.7,433091101
142.1,S,46,2431.66,665.09,17765727.5,85033804.1,433091234
143.1,S,61,2461.06,669.80,17765727.5,85033805.0,433091238
144.1,S,57,2488.80,674.47,17765727.5,85033900.9,433091326
145.1,S,57,2516.32,678.82,17765727.5,85033901.6,433091329
146.1,S,61,2543.95,683.05,17765727.5,85034044.0,433091461
147.1,S,59,2573.40,687.75,17765727.5,85034187.9,433091586
148.1,S,57,2600.73,692.47,17765727.5,85034236.1,433091634
149.1,S,57,2627.87,697.15,17765727.5,85034370.6,433091760
150.1,S,61,2655.44,701.30,17765727.5,85034551.6,433091920
151.1,S,61,2685.23,706.08,17765727.5,85034686.8,433092038
152.1,S,57,2712.53,710.51,17765727.5,85034783.6,433092128
153.1,S,57,2739.62,715.18,17765727.5,85035030.8,433092338
154.1,S,57,2760.65,718.08,17765727.5,85035639.7,433092859
155.1,S,61,2771.20,719.44,17765727.5,85035966.0,433093754
156.1,S,57,2799.42,723.97,17765727.5,85036296.6,433094042
157.1,S,56,2826.16,728.77,17765727.5,85036337.5,433094078
