t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17741075.4,81311626.6,422265503
1.0,S,34,2.46,0.22,17741075.4,81311629.6,422265534
2.0,S,34,4.88,0.40,17741075.4,81311630.2,422265548
3.0,S,34,7.23,0.55,17741075.4,81311630.4,422265551
4.0,S,34,9.51,0.76,17741075.4,81311630.6,422265558
5.0,S,34,11.81,0.95,17741075.4,81311630.8,422265560
6.0,S,34,14.05,1.13,17741075.5,81311648.5,422265624
7.0,S,34,16.30,1.33,17741075.5,81311649.2,422265629
8.0,S,34,18.53,1.55,17741075.5,81311649.4,422265633
9.0,S,34,20.78,1.76,17741075.5,81311649.5,422265636
10.0,S,34,23.04,1.95,17741075.5,81311649.7,422265644
11.0,S,34,25.23,2.16,17741075.5,81311649.8,422265646
12.0,S,34,27.37,2.32,17741075.5,81311650.8,422265648
13.0,S,34,29.46,2.53,17741075.5,81311651.1,422265651
14.0,S,34,31.69,2.68,17741075.5,81311651.3,422265653
15.0,S,34,33.97,2.87,17741075.5,81311651.7,422265663
16.0,S,34,36.19,2.99,17741075.5,81311652.5,422265682
17.0,S,34,38.43,3.16,17741075.5,81311652.7,422265684
18.0,S,34,40.62,3.34,17741075.5,81311653.3,422265695
19.0,S,34,42.78,3.54,17741075.5,81311653.4,422265702
20.0,S,34,44.94,3.73,17741075.5,81311653.6,422265703
21.0,S,34,47.10,3.93,17741075.5,81311695.6,422265830
22.0,S,34,49.32,4.05,17741075.5,81311699.1,422265854
23.0,S,34,51.55,4.22,17741075.5,81311699.9,422265868
24.0,S,34,53.72,4.40,17741075.5,81311728.5,422265970
25.0,S,34,55.93,4.58,17741075.5,81311728.7,422265976
26.0,S,34,58.13,4.77,17741075.5,81311728.8,422265978
27.0,S,34,60.33,4.94,17741075.5,81311729.3,422265982
28.0,S,34,62.48,5.07,17741075.5,81311729.5,422265984
29.0,S,34,64.73,5.22,17741075.5,81311730.1,422265986
30.0,S,34,66.98,5.34,17741075.5,81311730.3,422265989
31.0,S,34,69.05,5.50,17741075.5,81311730.8,422265994
32.0,S,34,71.21,5.69,17741075.5,81311731.0,422265996
33.0,S,34,73.43,5.86,17741075.5,81311731.1,422265997
34.0,S,34,75.56,6.01,17741075.5,81311731.5,422266000
35.0,S,34,77.77,6.19,17741075.5,81311731.7,422266007
36.0,S,34,79.85,6.35,17741075.5,81311782.5,422266260
37.0,S,34,81.93,6.53,17741076.1,81311784.5,422266295
38.0,S,34,84.08,6.72,17741077.5,81311784.7,422266308
39.0,S,34,86.24,6.88,17741077.7,81311784.8,422266311
40.0,S,34,88.25,7.04,17741077.7,81311798.2,422266392
41.0,S,34,90.49,7.17,17741077.7,81311798.4,422266396
42.0,S,34,92.56,7.37,17741077.7,81311798.5,422266398
43.0,S,34,94.73,7.55,17741077.7,81311798.8,422266406
44.0,S,34,96.90,7.73,17741077.7,81311798.8,422266407
45.0,S,34,99.07,7.93,17741077.7,81311799.6,422266410
46.0,S,34,101.26,8.12,17741077.7,81311799.7,422266412
47.0,S,34,103.43,8.24,17741077.7,81311799.9,422266415
48.0,S,34,105.59,8.46,17741077.7,81311800.0,422266417
49.1,S,34,107.77,8.62,17741077.7,81311800.2,422266419
50.1,S,34,109.96,8.79,17741077.7,81311800.5,422266421
51.1,S,34,112.05,9.02,17741077.7,81311801.2,422266426
52.1,S,34,114.27,9.18,17741077.7,81311801.3,422266432
53.1,S,34,116.44,9.36,17741077.7,81311801.5,422266436
54.1,S,34,118.63,9.52,17741077.7,81311801.6,422266438
55.1,S,34,120.80,9.69,17741077.7,81311801.8,422266440
56.1,S,34,122.95,9.88,17741077.7,81311802.2,422266441
