t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17740034.1,81267333.3,422144952
1.0,S,34,9.74,5.51,17740034.1,81267334.4,422144964
2.0,S,34,20.27,11.55,17740034.1,81267558.8,422145169
3.0,S,34,31.61,17.36,17740034.1,81267875.4,422145438
4.0,S,34,42.10,22.84,17740034.1,81268361.1,422145869
5.0,S,34,53.20,28.92,17740034.1,81268810.4,422146261
6.0,S,34,63.36,34.53,17740034.1,81269405.9,422146768
7.0,S,34,74.25,40.42,17740034.1,81269880.0,422147177
8.0,Z,1,83.21,45.25,17740034.1,81270299.2,422147533
