t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17748847.3,83933521.7,429481624
1.0,S,34,9.26,4.56,17748847.3,83933523.2,429481653
2.0,S,34,19.85,9.61,17748847.3,83933523.2,429481655
3.0,S,34,30.53,14.61,17748847.3,83933523.5,429481658
4.0,S,34,41.04,19.77,17748847.3,83933523.9,429481659
5.0,S,34,51.56,24.90,17748847.3,83933524.1,429481660
6.0,S,34,61.96,30.14,17748847.3,83933524.9,429481667
7.0,S,35,72.00,34.87,17748847.3,83933550.2,429481742
8.0,S,35,82.47,39.47,17748847.3,83933606.3,429481930
9.0,S,35,91.20,43.27,17748847.3,83933662.7,429482155
10.0,S,35,96.04,45.06,17748847.3,83933701.8,429482300
11.0,S,36,104.06,47.99,17748847.4,83933720.0,429482399
12.0,S,35,116.33,52.90,17748847.4,83933802.1,429482492
13.0,S,35,128.61,57.91,17748847.4,83933848.3,429482537
14.0,S,35,138.50,61.71,17748847.4,83933926.9,429482611
15.0,S,35,139.97,61.77,17748847.4,83934014.3,429482689
16.0,S,37,152.14,65.92,17748847.4,83934069.4,429482739
17.0,S,37,165.68,70.66,17748847.4,83934128.0,429482846
18.0,S,37,179.37,75.58,17748847.4,83934164.1,429483052
19.0,S,37,191.59,79.69,17748847.4,83934270.0,429483364
20.0,S,35,203.70,84.34,17748847.4,83934375.4,429483671
21.0,S,39,212.78,87.70,17748847.4,83934510.2,429484138
22.0,S,39,227.39,92.17,17748847.4,83934548.9,429484261
23.0,S,39,233.24,92.26,17748847.4,83934567.8,429484322
24.0,S,38,241.56,94.03,17748847.4,83934634.5,429484581
25.0,S,38,255.82,98.66,17748847.4,83934684.4,429484784
26.0,S,34,267.54,103.04,17748847.4,83934994.9,429485429
27.0,S,39,283.67,107.96,17748847.4,83935023.2,429485457
28.0,S,38,298.95,113.13,17748847.4,83935089.4,429485517
29.0,S,38,311.26,116.74,17748847.4,83935142.9,429485570
30.0,S,38,319.00,118.25,17748847.4,83935197.0,429485655
31.0,S,36,322.40,118.59,17748847.4,83935414.2,429486302
32.0,S,37,334.76,123.18,17748847.4,83935509.3,429486597
