t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17781299.8,87522316.6,436899438
1.0,S,42,9.54,4.23,17781299.8,87522318.0,436899473
2.0,S,42,20.26,9.31,17781299.8,87522318.3,436899480
3.0,S,42,30.93,14.44,17781299.8,87522318.8,436899483
4.0,S,42,41.71,19.50,17781299.8,87522319.0,436899485
5.0,S,42,52.32,24.71,17781299.8,87522319.2,436899486
6.0,S,42,62.28,29.57,17781299.8,87522344.0,436899555
7.0,S,42,73.38,33.75,17781299.8,87522444.8,436899816
8.0,S,42,82.11,37.78,17781299.8,87522524.2,436900010
9.0,S,46,94.25,41.84,17781299.8,87522584.2,436900236
10.0,S,43,106.13,46.78,17781299.8,87522705.8,436900539
11.0,S,47,120.58,51.52,17781299.8,87522806.4,436900633
12.0,S,43,134.56,56.57,17781299.8,87522900.3,436900719
13.0,S,43,146.43,61.38,17781299.8,87522982.7,436900792
14.0,S,47,161.84,66.26,17781299.8,87523025.7,436900873
15.0,S,42,172.54,70.43,17781299.8,87523392.9,436901620
16.0,S,45,187.31,75.53,17781299.8,87523393.3,436901622
17.0,S,49,199.43,79.39,17781299.8,87523485.9,436901875
18.0,S,45,216.67,83.93,17781299.8,87523585.5,436902088
19.0,S,44,230.50,89.11,17781299.8,87523607.5,436902134
20.0,S,48,241.26,93.02,17781299.8,87523860.5,436902732
21.0,S,48,260.08,98.07,17781299.8,87524244.7,436903307
22.0,S,48,277.54,103.54,17781299.8,87524245.1,436903312
23.0,S,52,294.52,108.30,17781299.8,87524350.3,436903413
24.0,S,50,316.39,112.87,17781299.8,87524399.3,436903457
25.0,S,45,332.93,117.57,17781299.8,87524620.5,436903815
26.0,S,44,346.50,122.73,17781299.8,87524748.7,436904047
27.0,S,55,360.12,125.79,17781299.8,87524984.4,436904438
28.0,S,51,383.07,130.49,17781299.8,87525082.9,436904605
29.0,S,51,404.08,135.53,17781299.8,87525083.3,436904610
30.0,S,51,423.39,140.38,17781299.8,87525128.4,436904721
31.0,S,54,443.96,144.23,17781299.8,87525223.2,436904932
32.0,S,47,460.65,147.91,17781299.8,87525509.7,436905480
33.0,S,42,472.96,152.12,17781299.8,87525897.5,436906070
34.0,S,55,490.78,156.83,17781299.8,87526000.6,436906169
35.0,S,54,515.99,161.44,17781299.8,87526024.8,436906195
36.0,S,51,537.85,166.16,17781299.8,87526097.4,436906353
37.0,S,50,557.85,171.44,17781299.8,87526131.2,436906539
38.0,S,53,576.63,175.76,17781299.8,87526364.1,436906907
39.0,S,52,594.48,179.80,17781299.8,87526551.4,436907215
40.0,S,42,603.46,183.61,17781299.8,87526912.9,436907987
41.0,S,51,623.08,188.56,17781299.8,87526937.4,436908031
42.0,S,55,645.27,192.56,17781299.8,87527016.8,436908217
43.0,S,50,667.07,197.39,17781299.8,87527178.4,436908515
44.0,S,50,686.72,202.67,17781299.8,87527178.5,436908517
45.0,S,53,706.14,207.23,17781299.8,87527383.7,436908745
46.0,S,47,723.58,211.23,17781299.8,87527636.4,436909081
47.0,S,47,733.38,215.22,17781299.8,87527918.7,436909638
48.0,S,47,750.29,220.21,17781299.8,87527919.2,436909640
