t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17741077.9,81331059.8,422323645
1.0,S,34,2.45,0.24,17741077.9,81331061.1,422323663
2.0,S,34,4.76,0.42,17741077.9,81331061.3,422323667
3.0,S,34,7.03,0.61,17741077.9,81331061.5,422323681
4.0,S,34,9.28,0.78,17741077.9,81331062.2,422323685
5.0,S,34,11.63,0.91,17741077.9,81331062.5,422323689
6.0,S,34,13.92,1.09,17741077.9,81331063.0,422323692
7.0,S,34,16.16,1.25,17741077.9,81331063.3,422323695
8.0,S,34,18.35,1.43,17741077.9,81331063.5,422323697
9.0,S,34,20.63,1.57,17741077.9,81331063.9,422323700
10.0,S,34,22.86,1.73,17741077.9,81331064.1,422323703
11.0,S,34,25.07,1.91,17741077.9,81331064.3,422323706
12.0,S,34,27.26,2.10,17741077.9,81331064.8,422323709
13.0,S,34,29.47,2.28,17741077.9,81331065.1,422323712
14.0,S,34,31.70,2.44,17741077.9,81331065.3,422323715
15.0,S,34,33.90,2.64,17741077.9,81331065.8,422323717
16.0,S,34,36.09,2.82,17741077.9,81331065.9,422323719
17.0,S,34,38.34,2.97,17741077.9,81331066.2,422323721
18.0,S,34,40.58,3.12,17741077.9,81331066.7,422323723
19.0,S,34,42.78,3.30,17741077.9,81331067.0,422323725
20.0,S,34,44.95,3.49,17741077.9,81331150.6,422323804
21.0,S,34,47.12,3.67,17741077.9,81331150.9,422323809
22.0,S,34,49.29,3.85,17741077.9,81331151.0,422323811
23.0,S,34,51.44,4.08,17741077.9,81331151.3,422323814
24.0,S,34,53.63,4.24,17741077.9,81331151.9,422323817
25.0,S,34,55.83,4.41,17741077.9,81331152.2,422323821
26.0,S,34,58.04,4.54,17741077.9,81331152.6,422323823
27.0,S,34,60.24,4.70,17741077.9,81331152.8,422323825
28.0,S,34,62.46,4.86,17741077.9,81331153.1,422323829
29.0,S,34,64.71,5.00,17741077.9,81331153.4,422323833
30.0,S,34,66.90,5.16,17741077.9,81331154.1,422323835
31.0,S,34,69.08,5.34,17741077.9,81331154.5,422323838
32.0,S,34,71.25,5.51,17741077.9,81331154.7,422323840
33.0,S,34,73.46,5.65,17741077.9,81331154.9,422323843
34.0,S,34,75.59,5.85,17741077.9,81331155.1,422323843
35.0,S,34,77.78,6.02,17741077.9,81331155.7,422323848
36.0,S,34,79.94,6.20,17741077.9,81331156.0,422323851
37.0,S,34,82.08,6.38,17741077.9,81331156.4,422323853
38.0,S,34,84.27,6.54,17741077.9,81331156.5,422323856
39.0,S,34,86.44,6.70,17741077.9,81331156.8,422323859
40.0,S,34,88.57,6.90,17741077.9,81331212.6,422323911
41.0,S,34,90.74,7.06,17741077.9,81331213.0,422323915
42.0,S,34,92.90,7.26,17741077.9,81331213.5,422323916
43.0,S,34,95.09,7.43,17741077.9,81331213.8,422323921
44.0,S,34,97.28,7.60,17741077.9,81331214.0,422323923
