t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17748676.5,83355102.5,427843098
1.0,S,34,9.49,4.14,17748676.5,83355104.1,427843138
2.0,S,34,20.26,9.27,17748676.5,83355156.5,427843324
3.0,S,34,31.20,14.21,17748676.5,83355156.9,427843327
4.0,S,34,42.04,19.25,17748676.5,83355157.6,427843330
5.0,S,34,52.91,24.24,17748676.5,83355158.4,427843340
6.0,S,34,63.88,29.12,17748676.5,83355158.7,427843345
7.0,S,34,74.75,34.12,17748676.5,83355159.1,427843354
8.0,S,34,85.59,39.13,17748676.5,83355159.8,427843371
9.0,S,42,88.51,40.20,17748676.5,83355365.4,427844127
10.0,S,42,106.95,45.08,17748676.5,83355486.0,427844243
11.0,S,36,124.57,49.86,17748676.5,83355580.6,427844333
12.0,S,37,139.12,54.69,17748676.5,83355606.5,427844359
13.0,S,37,154.20,59.48,17748676.5,83355606.9,427844360
14.0,S,37,169.30,64.25,17748676.5,83355607.5,427844362
15.0,S,36,183.95,69.17,17748676.5,83355653.3,427844406
16.0,S,35,197.72,73.98,17748676.5,83355748.7,427844560
17.0,S,34,208.36,78.72,17748676.5,83355847.7,427844956
18.0,S,34,213.43,81.25,17748676.5,83355989.9,427845461
19.0,S,42,222.89,83.67,17748676.5,83356105.4,427845933
20.0,S,42,237.92,87.62,17748676.5,83356225.6,427846328
21.0,S,34,250.68,91.21,17748676.5,83356346.5,427846873
22.0,S,41,268.28,96.16,17748676.5,83356346.8,427846881
23.0,S,41,287.13,101.03,17748676.5,83356347.0,427846887
24.0,S,40,305.55,105.83,17748676.5,83356371.4,427846948
25.0,S,40,323.51,110.52,17748676.5,83356371.6,427846948
26.0,S,40,341.52,115.25,17748676.5,83356372.5,427846951
27.0,S,38,358.83,120.13,17748676.5,83356500.9,427847062
28.0,S,35,369.85,124.28,17748676.5,83356874.8,427847645
29.0,S,38,374.67,126.02,17748676.5,83357065.3,427848324
30.0,S,38,389.35,131.08,17748676.5,83357065.5,427848326
31.0,S,38,404.08,136.08,17748676.5,83357065.8,427848327
32.0,S,37,417.96,141.01,17748676.5,83357166.0,427848629
33.0,S,34,428.72,145.71,17748676.5,83357287.4,427849017
34.0,S,34,440.43,150.68,17748676.5,83357287.8,427849019
35.0,S,34,452.10,155.69,17748676.5,83357288.0,427849022
36.0,S,34,463.75,160.75,17748676.5,83357288.6,427849028
37.0,S,34,473.88,165.21,17748676.5,83357361.2,427849220
38.2,S,38,483.96,168.24,17748676.5,83357592.9,427849805
39.2,S,38,499.83,173.16,17748676.5,83357593.1,427849807
40.2,S,37,515.11,178.08,17748676.5,83357635.3,427849846
41.2,S,35,528.63,183.06,17748676.5,83357754.4,427849947
42.2,S,35,541.35,187.98,17748676.5,83357819.2,427850007
43.2,S,35,554.18,192.76,17748676.5,83357885.3,427850151
44.2,S,35,566.96,197.71,17748676.5,83357885.6,427850155
45.2,S,34,579.43,202.73,17748676.5,83357940.4,427850296
46.2,S,34,588.32,206.33,17748676.5,83358009.9,427850569
47.2,S,39,593.74,208.11,17748676.5,83358241.0,427851251
48.2,S,38,609.58,213.21,17748676.5,83358252.9,427851291
49.2,S,37,624.86,217.89,17748676.5,83358283.5,427851392
50.2,S,36,638.95,222.93,17748676.5,83358402.9,427851790
51.2,S,34,650.96,227.65,17748676.5,83358463.2,427852003
52.2,S,34,661.66,232.32,17748676.5,83358527.8,427852236
53.2,S,34,673.45,237.30,17748676.5,83358528.4,427852237
54.2,S,34,685.24,242.27,17748676.5,83358528.9,427852246
55.2,S,34,696.67,247.27,17748676.5,83358536.9,427852269
56.2,S,41,698.61,247.63,17748676.5,83358780.5,427853214
57.2,S,39,714.63,252.13,17748676.5,83358832.1,427853408
58.3,S,37,729.11,256.66,17748676.5,83358921.5,427853627
59.3,S,36,742.97,261.62,17748676.5,83358922.4,427853631
60.3,S,34,756.01,266.64,17748676.5,83359053.1,427853751
61.3,S,34,767.92,271.42,17748676.5,83359118.0,427853814
62.3,S,34,779.74,276.35,17748676.5,83359118.1,427853815
63.3,S,34,791.41,281.46,17748676.5,83359118.3,427853816
64.3,S,34,803.26,286.40,17748676.5,83359119.3,427853820
65.3,S,40,811.93,289.22,17748676.5,83359356.3,427854247
66.3,S,40,829.32,293.99,17748676.5,83359423.6,427854463
67.3,S,37,845.97,298.71,17748676.5,83359513.4,427854807
68.3,S,37,860.72,303.53,17748676.5,83359562.7,427855029
69.3,S,35,873.96,308.70,17748676.5,83359633.1,427855377
70.3,S,35,886.62,313.77,17748676.5,83359634.1,427855388
71.3,S,34,895.85,317.78,17748676.5,83359753.0,427855792
72.3,S,38,911.54,322.31,17748676.5,83359756.3,427855809
73.3,S,38,927.45,327.11,17748676.5,83359756.5,427855811
74.3,S,38,935.27,328.69,17748676.5,83359948.5,427856505
75.3,S,43,948.45,331.62,17748676.5,83360070.8,427856924
76.3,S,41,968.54,336.42,17748676.5,83360112.6,427857063
77.3,S,39,983.99,340.86,17748676.5,83360253.9,427857543
78.3,S,43,999.51,345.45,17748676.5,83360395.6,427857670
79.3,S,41,1019.17,350.27,17748676.5,83360515.6,427857778
80.3,S,41,1038.11,355.07,17748676.5,83360516.3,427857783
81.3,S,41,1056.99,359.91,17748676.5,83360517.1,427857786
82.3,S,41,1076.13,364.49,17748676.5,83360517.5,427857791
83.3,S,41,1095.05,369.25,17748676.5,83360517.7,427857794
84.3,S,41,1109.12,372.36,17748676.5,83360706.7,427858162
85.3,S,46,1122.72,374.55,17748676.5,83360985.7,427859013
86.3,S,45,1136.28,377.26,17748676.5,83361213.6,427859811
87.3,S,38,1147.27,380.38,17748676.5,83361570.8,427860438
88.3,S,37,1162.95,385.46,17748676.5,83361630.9,427860490
89.3,S,37,1177.80,390.42,17748676.5,83361631.4,427860493
90.3,S,37,1192.54,395.43,17748676.5,83361631.8,427860496
91.3,S,36,1206.62,400.00,17748676.5,83361675.5,427860535
92.3,S,36,1218.30,404.34,17748676.5,83361792.0,427860973
93.3,S,36,1230.45,409.02,17748676.5,83361870.6,427861238
94.3,S,36,1244.15,413.99,17748676.5,83361871.3,427861249
95.3,S,35,1248.06,414.70,17748676.5,83362099.0,427862118
96.3,S,41,1264.97,418.79,17748676.5,83362184.0,427862430
97.3,S,38,1281.53,423.85,17748676.5,83362240.7,427862654
98.3,S,38,1296.99,428.75,17748676.5,83362272.1,427862787
99.3,S,35,1307.35,433.04,17748676.5,83362487.4,427863132
100.3,S,35,1320.10,438.08,17748676.5,83362487.7,427863134
101.3,S,34,1331.97,443.18,17748676.5,83362512.0,427863155
102.3,S,34,1343.88,448.12,17748676.5,83362512.8,427863157
103.3,S,42,1357.00,451.82,17748676.5,83362712.9,427863406
104.3,S,37,1370.92,456.01,17748676.5,83362841.1,427863799
105.3,S,38,1386.82,460.95,17748676.5,83362905.1,427863994
106.3,S,38,1402.58,465.98,17748676.5,83362905.2,427863996
107.3,S,38,1418.39,470.96,17748676.5,83362927.1,427864063
108.3,S,36,1432.35,476.07,17748676.5,83362997.0,427864258
109.3,S,36,1446.31,480.93,17748676.5,83363026.0,427864350
110.3,S,35,1454.24,484.05,17748676.5,83363232.8,427865072
111.3,S,44,1462.72,485.96,17748676.5,83363420.1,427865675
112.3,S,38,1480.62,490.47,17748676.5,83363527.1,427865779
113.3,S,36,1495.25,495.53,17748676.5,83363560.6,427865813
114.3,S,36,1509.17,500.35,17748676.5,83363561.9,427865820
