t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17932058.1,90702776.2,443324005
1.0,S,37,9.58,4.53,17932058.1,90702778.0,443324027
2.0,S,37,20.26,9.55,17932058.1,90702778.1,443324029
3.0,S,37,30.99,14.65,17932058.1,90702779.1,443324032
4.0,S,37,41.99,19.50,17932058.1,90702779.6,443324036
5.0,S,37,52.81,24.52,17932058.1,90702779.9,443324040
6.0,S,37,62.68,29.37,17932058.1,90702844.7,443324100
7.0,S,37,73.51,34.42,17932058.1,90702845.0,443324104
8.0,S,37,83.37,39.15,17932058.1,90702926.1,443324177
9.0,S,37,93.89,44.47,17932058.1,90702926.4,443324180
10.0,S,37,103.49,49.11,17932058.1,90703027.3,443324273
11.0,S,37,114.22,54.20,17932058.1,90703027.4,443324275
12.0,S,37,123.65,58.60,17932058.1,90703152.6,443324392
13.0,S,37,134.35,63.77,17932058.1,90703152.7,443324395
14.0,S,37,145.13,68.86,17932058.1,90703153.2,443324397
15.0,S,40,155.75,73.51,17932058.1,90703245.8,443324476
16.0,S,40,169.46,78.63,17932058.1,90703246.3,443324477
17.0,S,38,180.58,83.34,17932058.1,90703407.8,443324618
18.0,S,37,191.80,88.24,17932058.1,90703474.9,443324681
19.0,S,37,202.60,93.28,17932058.1,90703475.0,443324683
20.0,S,43,215.88,97.82,17932058.1,90703580.1,443324774
21.0,S,43,232.98,102.61,17932058.1,90703580.6,443324775
22.0,S,39,246.68,107.90,17932058.1,90703837.9,443325010
23.0,S,39,258.45,112.51,17932058.1,90703952.2,443325113
24.0,S,37,270.16,117.64,17932058.1,90704020.3,443325176
25.0,S,41,281.56,122.32,17932058.1,90704121.7,443325266
26.0,S,41,297.19,127.59,17932058.1,90704121.9,443325269
27.0,S,41,312.41,132.67,17932058.1,90704232.4,443325370
28.0,S,37,323.27,137.18,17932058.1,90704467.0,443325570
29.0,S,37,336.03,142.29,17932058.1,90704467.4,443325574
30.0,S,37,348.75,147.36,17932058.1,90704467.9,443325575
31.0,S,37,360.32,152.10,17932058.1,90704571.4,443325669
32.0,S,37,372.86,157.35,17932058.1,90704636.2,443325730
33.0,S,37,384.62,162.00,17932058.1,90704739.6,443325822
34.0,S,37,397.30,167.21,17932058.1,90704739.9,443325824
35.0,S,37,409.90,172.35,17932058.1,90704740.2,443325827
36.0,S,40,423.63,177.24,17932058.1,90704907.7,443325968
37.0,S,40,439.07,182.72,17932058.1,90704908.1,443325972
38.0,S,38,452.76,187.94,17932058.1,90705028.3,443326081
39.0,S,38,463.05,191.77,17932058.1,90705307.8,443326321
40.0,S,37,475.47,196.93,17932058.1,90705412.6,443326416
41.0,S,43,488.33,201.52,17932058.1,90705515.5,443326507
42.0,S,43,507.13,206.66,17932058.1,90705515.9,443326508
43.0,S,40,524.97,211.57,17932058.1,90705677.8,443326660
44.0,S,39,538.70,216.27,17932058.1,90705860.8,443326821
45.0,S,39,553.21,221.63,17932058.1,90705925.5,443326878
46.0,S,37,566.99,226.89,17932058.1,90706006.2,443326949
47.0,S,41,580.92,231.48,17932058.1,90706109.3,443327048
48.0,S,41,599.14,236.17,17932058.1,90706109.5,443327051
49.0,S,37,615.56,240.96,17932058.1,90706271.3,443327189
50.0,S,37,629.05,245.78,17932058.1,90706438.5,443327339
51.0,S,37,642.95,250.85,17932058.1,90706597.9,443327477
52.0,S,37,656.63,256.06,17932058.1,90706598.1,443327479
53.0,S,37,668.38,261.03,17932058.1,90706748.8,443327615
54.0,S,37,681.15,266.12,17932058.1,90706749.3,443327618
55.0,S,37,692.86,270.62,17932058.1,90706852.3,443327715
56.0,S,37,705.72,275.58,17932058.1,90706852.5,443327716
57.0,S,37,718.34,280.77,17932058.1,90706852.7,443327719
58.0,S,40,731.89,285.44,17932058.1,90706955.5,443327812
59.0,S,23,739.48,287.55,17932058.1,90707117.4,443327950
60.0,S,21,740.87,287.59,17932058.1,90707238.6,443328057
61.0,S,21,741.80,287.62,17932058.1,90707279.0,443328097
