t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17740041.7,81280097.8,422159270
1.0,S,34,2.46,0.23,17740041.7,81280098.8,422159286
2.0,S,34,4.80,0.38,17740041.7,81280099.3,422159289
3.0,S,34,6.99,0.60,17740041.7,81280100.5,422159305
4.0,S,34,9.24,0.81,17740041.7,81280100.7,422159306
5.0,S,34,11.40,1.00,17740041.7,81280101.1,422159309
6.0,S,34,13.67,1.17,17740041.7,81280101.3,422159310
7.0,S,34,15.90,1.38,17740041.7,81280101.5,422159312
8.0,S,34,18.18,1.56,17740041.7,81280101.8,422159313
9.0,S,34,20.42,1.71,17740041.7,81280102.5,422159322
10.0,S,34,22.58,1.86,17740041.7,81280103.7,422159335
11.0,S,34,24.79,1.99,17740041.7,81280104.0,422159343
12.0,S,34,27.05,2.17,17740041.7,81280104.2,422159346
13.0,S,34,29.27,2.36,17740041.7,81280104.6,422159350
14.0,S,34,31.54,2.51,17740041.7,81280104.9,422159351
15.0,S,34,33.82,2.66,17740041.7,81280105.5,422159353
16.0,S,34,36.07,2.85,17740041.7,81280154.9,422159398
17.0,S,34,38.29,3.03,17740041.7,81280155.2,422159402
18.0,S,34,40.49,3.21,17740041.7,81280155.2,422159402
19.0,S,34,42.72,3.35,17740041.7,81280155.5,422159405
20.0,S,34,44.82,3.50,17740041.7,81280156.7,422159420
21.0,S,34,47.06,3.65,17740041.7,81280157.0,422159420
22.0,S,34,49.23,3.80,17740041.7,81280158.0,422159437
23.0,S,34,51.46,3.98,17740041.7,81280158.1,422159438
24.0,S,34,53.67,4.15,17740041.7,81280158.3,422159442
25.0,S,34,55.81,4.33,17740041.7,81280159.4,422159458
26.0,S,34,58.01,4.51,17740041.7,81280159.6,422159460
27.0,S,34,60.18,4.71,17740041.7,81280160.0,422159461
28.0,S,34,62.42,4.87,17740041.7,81280160.2,422159463
29.0,S,34,64.60,5.05,17740041.7,81280160.3,422159466
30.0,S,34,66.77,5.25,17740041.7,81280160.5,422159470
31.0,S,34,68.97,5.42,17740041.7,81280160.7,422159471
32.0,S,34,71.17,5.59,17740041.7,81280205.4,422159513
33.0,S,34,73.36,5.74,17740041.7,81280206.2,422159521
34.0,S,34,75.46,5.90,17740041.7,81280206.9,422159532
35.0,S,34,77.64,6.07,17740041.7,81280207.0,422159534
36.0,S,34,79.86,6.24,17740041.7,81280207.5,422159538
37.0,S,34,82.04,6.41,17740041.7,81280208.0,422159542
38.0,S,34,84.19,6.58,17740041.7,81280209.2,422159560
39.0,S,34,86.32,6.77,17740041.7,81280209.2,422159561
40.0,S,34,88.50,6.94,17740041.7,81280209.4,422159563
41.0,S,34,90.68,7.09,17740041.7,81280209.5,422159563
42.0,S,34,92.80,7.24,17740041.7,81280210.8,422159581
43.0,S,34,95.03,7.37,17740041.7,81280211.4,422159586
44.0,S,34,97.12,7.55,17740041.7,81280212.9,422159602
45.0,S,34,99.28,7.69,17740041.7,81280213.0,422159604
46.0,S,34,101.51,7.85,17740041.7,81280213.2,422159606
47.0,S,34,103.71,8.00,17740041.7,81280213.6,422159608
48.0,S,34,105.93,8.13,17740041.7,81280213.8,422159611
49.1,S,34,108.07,8.36,17740041.7,81280214.3,422159614
50.1,S,34,110.25,8.50,17740041.7,81280214.5,422159617
51.1,S,34,112.47,8.63,17740041.7,81280214.7,422159618
52.1,S,34,114.64,8.78,17740041.7,81280272.9,422159674
53.1,S,34,116.80,8.95,17740041.7,81280274.2,422159677
