t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17880207.5,89331227.0,440226055
1.0,S,47,9.77,4.65,17880207.5,89331228.5,440226076
2.0,S,47,20.56,9.73,17880207.5,89331228.9,440226083
3.0,S,47,31.36,14.79,17880207.5,89331229.1,440226086
4.0,S,47,42.04,19.93,17880207.5,89331229.4,440226089
5.0,S,47,52.80,25.03,17880207.5,89331229.9,440226089
6.0,S,47,62.69,29.84,17880207.5,89331295.0,440226149
7.0,S,47,73.46,34.92,17880207.5,89331295.7,440226160
8.0,S,47,83.37,39.55,17880207.5,89331376.4,440226233
9.0,S,47,94.10,44.65,17880207.5,89331376.7,440226245
10.0,S,47,103.91,49.18,17880207.5,89331477.4,440226332
11.0,S,47,114.65,54.31,17880207.5,89331478.0,440226342
12.0,S,47,124.15,58.83,17880207.5,89331602.9,440226451
13.0,S,47,134.72,64.09,17880207.5,89331603.1,440226456
14.0,S,47,145.52,69.13,17880207.5,89331603.3,440226459
15.0,S,50,156.26,73.85,17880207.5,89331696.1,440226542
16.0,S,50,169.80,79.23,17880207.5,89331696.7,440226543
17.0,S,48,180.96,83.99,17880207.5,89331881.3,440226709
18.0,S,48,192.41,88.94,17880207.5,89331943.0,440226851
19.0,S,47,203.18,94.04,17880207.5,89331943.2,440226864
20.0,S,53,213.77,97.80,17880207.5,89332047.6,440227128
21.0,S,53,230.47,102.99,17880207.5,89332048.1,440227146
22.0,S,50,245.27,108.07,17880207.5,89332215.9,440227302
23.0,S,49,257.16,112.77,17880207.5,89332416.3,440227502
24.0,S,48,269.55,117.84,17880207.5,89332464.0,440227685
25.0,S,58,280.88,122.63,17880207.5,89332612.1,440227825
26.0,S,58,303.73,127.73,17880207.5,89332612.4,440227834
27.0,S,58,326.77,132.68,17880207.5,89332613.3,440227885
28.0,S,57,349.00,137.68,17880207.5,89332666.7,440227948
29.0,S,54,366.77,142.06,17880207.5,89332929.7,440228218
30.0,S,50,383.05,147.25,17880207.5,89333237.7,440228613
31.0,S,47,395.89,152.68,17880207.5,89333432.9,440228784
32.0,S,47,404.73,156.48,17880207.5,89333536.9,440229042
33.0,S,47,416.51,161.56,17880207.5,89333537.8,440229047
34.0,S,47,427.63,166.33,17880207.5,89333567.9,440229111
35.0,S,47,437.61,170.47,17880207.5,89333641.7,440229296
36.0,S,47,449.45,175.45,17880207.5,89333641.9,440229313
37.0,S,50,457.80,178.87,17880207.5,89333744.2,440229659
38.0,S,50,472.63,183.93,17880207.5,89333744.9,440229662
39.0,S,49,486.87,188.91,17880207.5,89333839.3,440229780
40.0,S,48,498.23,193.46,17880207.5,89333989.3,440229944
41.0,S,48,510.16,198.67,17880207.5,89334202.8,440230141
42.0,S,55,526.66,203.76,17880207.5,89334286.4,440230343
43.0,S,61,551.33,208.63,17880207.5,89334353.4,440230414
44.0,S,61,577.39,213.50,17880207.5,89334354.2,440230435
45.0,S,61,603.00,218.46,17880207.5,89334374.0,440230670
46.0,S,56,612.15,220.48,17880207.5,89334920.2,440231660
47.0,S,53,629.31,224.80,17880207.5,89335101.1,440231858
48.0,S,50,643.72,229.95,17880207.5,89335371.0,440232089
49.0,S,48,657.33,235.38,17880207.5,89335419.8,440232134
50.0,S,52,673.46,239.28,17880207.5,89335522.5,440232266
51.0,S,52,691.66,243.96,17880207.5,89335522.9,440232282
52.0,S,49,704.16,247.73,17880207.5,89335711.7,440232801
53.0,S,47,710.16,250.02,17880207.5,89335932.4,440233363
54.0,S,47,722.97,255.10,17880207.5,89335933.1,440233372
55.0,S,47,734.93,259.70,17880207.5,89336026.2,440233468
56.0,S,47,747.61,264.67,17880207.5,89336052.2,440233562
57.0,S,47,760.40,269.69,17880207.5,89336065.1,440233601
58.0,S,47,770.44,273.43,17880207.5,89336168.1,440233855
59.0,S,47,783.29,278.41,17880207.5,89336168.9,440233892
60.0,S,50,795.13,283.03,17880207.5,89336272.0,440233993
61.0,S,50,810.96,288.12,17880207.5,89336272.3,440234052
62.0,S,50,826.65,293.30,17880207.5,89336278.9,440234117
63.0,S,48,837.28,296.95,17880207.5,89336502.4,440234760
64.0,S,48,849.29,301.77,17880207.5,89336709.0,440235130
65.0,S,47,861.97,306.93,17880207.5,89336757.9,440235177
66.0,S,53,876.15,311.60,17880207.5,89336860.8,440235268
67.0,S,53,894.99,316.72,17880207.5,89336861.1,440235275
68.0,S,53,909.18,320.77,17880207.5,89337040.4,440235672
69.0,S,49,923.41,325.19,17880207.5,89337249.7,440236059
70.0,S,49,937.93,330.22,17880207.5,89337617.2,440236372
71.0,S,47,950.89,335.51,17880207.5,89337727.3,440236468
72.0,S,51,963.44,339.55,17880207.5,89337830.2,440236651
73.0,S,51,980.37,344.55,17880207.5,89337830.3,440236660
74.1,S,49,995.98,349.55,17880207.5,89337973.5,440237042
75.1,S,47,1006.73,353.13,17880207.5,89338124.0,440237420
76.1,S,47,1020.03,358.44,17880207.5,89338314.7,440237725
77.1,S,47,1032.66,363.74,17880207.5,89338315.9,440237738
78.1,S,47,1044.32,368.16,17880207.5,89338419.0,440237846
79.1,S,47,1057.23,373.03,17880207.5,89338419.2,440237867
80.1,S,47,1067.45,377.03,17880207.5,89338522.2,440238095
81.1,S,47,1080.31,382.05,17880207.5,89338522.7,440238116
82.1,S,47,1093.00,387.22,17880207.5,89338523.3,440238126
83.1,S,50,1105.12,390.96,17880207.5,89338626.0,440238369
84.1,S,50,1120.59,396.39,17880207.5,89338626.3,440238391
85.1,S,48,1134.49,401.28,17880207.5,89338931.0,440238670
86.1,S,48,1146.37,405.75,17880207.5,89339062.9,440238794
87.1,S,47,1158.96,410.95,17880207.5,89339110.7,440238845
88.1,S,53,1172.40,415.59,17880207.5,89339213.7,440238942
89.1,S,53,1191.27,420.65,17880207.5,89339213.9,440238979
90.1,S,52,1208.55,425.44,17880207.5,89339261.9,440239146
91.1,S,49,1219.29,428.98,17880207.5,89339561.0,440239925
92.1,S,49,1233.06,433.44,17880207.5,89339603.0,440240030
93.1,S,49,1247.17,438.80,17880207.5,89339983.5,440240366
94.1,S,51,1259.32,443.29,17880207.5,89340182.3,440240559
95.1,S,51,1276.13,448.43,17880207.5,89340182.6,440240560
96.1,S,50,1290.62,453.05,17880207.5,89340282.9,440240820
97.1,S,47,1301.17,456.78,17880207.5,89340476.6,440241349
98.1,S,47,1314.47,462.37,17880207.5,89340476.9,440241366
99.1,S,47,1327.21,467.80,17880207.5,89340667.8,440241542
