t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17750000.7,84022547.3,429866486
1.0,S,34,9.63,4.37,17750000.7,84022548.5,429866512
2.0,S,34,20.17,9.69,17750000.7,84022549.4,429866522
3.0,S,34,31.02,14.65,17750000.7,84022549.5,429866524
4.0,S,34,41.80,19.71,17750000.7,84022549.7,429866527
5.0,S,34,52.52,24.81,17750000.7,84022549.8,429866527
6.0,S,34,62.63,29.63,17750000.7,84022566.3,429866584
7.0,S,35,73.20,33.50,17750000.7,84022661.3,429866931
8.0,S,34,82.41,37.48,17750000.7,84022702.4,429867143
9.0,S,38,94.05,41.34,17750000.7,84022771.7,429867409
10.0,S,35,105.07,45.95,17750000.7,84022822.8,429867615
11.0,S,39,114.78,49.02,17750000.7,84022923.4,429868010
12.0,S,35,127.91,53.13,17750000.7,84023009.5,429868336
13.0,S,35,140.74,58.18,17750000.7,84023010.3,429868337
14.0,S,41,153.30,62.44,17750000.7,84023262.1,429868562
15.0,S,39,171.27,67.53,17750000.7,84023314.8,429868611
16.0,S,36,185.18,72.38,17750000.7,84023386.0,429868715
17.0,S,36,198.91,77.54,17750000.7,84023386.3,429868719
18.0,S,40,212.24,81.05,17750000.7,84023479.5,429868998
19.0,S,35,221.75,84.53,17750000.7,84023689.6,429869783
20.0,S,40,236.47,89.93,17750000.7,84023754.3,429870035
21.0,S,43,250.45,93.05,17750000.7,84023862.6,429870444
22.0,S,40,270.51,98.08,17750000.7,84023927.2,429870678
23.0,S,39,287.53,103.14,17750000.7,84023948.6,429870825
24.0,S,41,301.68,107.09,17750000.7,84024180.5,429871171
25.0,S,39,317.06,111.97,17750000.7,84024450.1,429871589
26.0,S,37,328.14,116.42,17750000.7,84024523.2,429871944
27.0,S,37,342.64,121.83,17750000.7,84024523.5,429871948
28.0,S,40,351.87,124.10,17750000.7,84024654.4,429872507
29.0,S,37,366.85,128.59,17750000.7,84024737.1,429872841
30.0,S,36,379.74,133.43,17750000.7,84024834.3,429873193
31.0,S,34,385.55,135.84,17750000.7,84024993.7,429873883
32.0,S,43,402.63,140.06,17750000.7,84025043.3,429874078
33.0,S,39,418.98,144.29,17750000.7,84025129.6,429874400
34.0,S,39,435.91,149.26,17750000.7,84025129.9,429874404
35.0,S,43,448.43,151.83,17750000.7,84025276.4,429874926
36.0,S,39,467.94,156.77,17750000.7,84025407.8,429875048
37.0,S,34,481.51,161.84,17750000.7,84025677.5,429875442
38.0,S,45,493.83,165.18,17750000.7,84025803.6,429875888
39.0,S,44,516.82,170.03,17750000.7,84025825.9,429875983
40.0,S,41,534.91,174.49,17750000.7,84025892.9,429876295
41.0,S,41,553.62,179.74,17750000.7,84025893.3,429876296
42.0,S,45,569.19,182.97,17750000.7,84026016.5,429876736
43.0,S,43,584.92,186.55,17750000.7,84026218.5,429877567
44.0,S,34,597.16,191.27,17750000.7,84026617.8,429877967
45.0,S,41,615.09,196.37,17750000.7,84026618.6,429877979
46.0,S,45,630.67,199.59,17750000.7,84026722.0,429878364
47.0,S,43,653.29,204.43,17750000.7,84026768.8,429878542
48.0,S,41,670.86,208.85,17750000.7,84026810.1,429878721
49.0,S,41,686.60,213.19,17750000.7,84026933.1,429879185
50.0,S,41,688.78,213.82,17750000.7,84027171.1,429880186
51.0,S,38,702.99,218.29,17750000.7,84027403.1,429880426
52.0,S,34,715.30,223.48,17750000.7,84027491.5,429880507
53.0,S,38,725.57,227.67,17750000.7,84027594.4,429880685
54.0,S,38,740.03,231.97,17750000.7,84027660.4,429880892
55.0,S,34,752.03,236.95,17750000.8,84027682.6,429880972
56.0,S,38,759.98,240.03,17750000.8,84027850.2,429881553
57.0,S,38,773.07,244.45,17750000.8,84027913.0,429881864
58.1,S,34,785.13,249.47,17750000.8,84027938.7,429881999
59.1,S,34,791.09,252.00,17750000.8,84028084.6,429882510
60.1,S,45,811.34,256.14,17750000.8,84028101.7,429882588
61.1,S,41,828.76,260.77,17750000.8,84028181.9,429882871
62.1,S,41,847.46,266.02,17750000.8,84028182.1,429882874
63.1,S,45,865.90,270.04,17750000.8,84028285.2,429883066
64.1,S,41,887.34,274.87,17750000.8,84028501.3,429883267
65.1,S,41,906.05,280.10,17750000.8,84028501.4,429883267
66.1,S,41,922.72,284.51,17750000.8,84028629.5,429883478
67.2,S,39,927.18,284.68,17750000.8,84028911.6,429884587
68.2,S,41,940.58,287.98,17750000.8,84029088.1,429885353
69.2,S,34,949.87,291.77,17750000.8,84029273.0,429886163
70.2,S,41,968.00,297.10,17750000.8,84029273.9,429886175
71.2,S,45,982.15,300.24,17750000.8,84029376.7,429886583
72.2,S,45,1004.39,305.24,17750000.8,84029404.8,429886692
73.2,S,41,1021.73,309.77,17750000.8,84029504.4,429886947
74.2,S,41,1040.65,314.77,17750000.8,84029547.7,429886987
75.2,S,45,1060.56,319.25,17750000.8,84029650.7,429887083
76.2,R,17,1076.00,322.60,17750000.8,84029814.2,429887227
