t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17740043.7,81289509.1,422181847
1.0,S,34,2.42,0.26,17740043.7,81289510.6,422181868
2.0,S,34,4.73,0.45,17740043.7,81289510.9,422181870
3.0,S,34,7.03,0.64,17740043.7,81289511.2,422181873
4.0,S,34,9.30,0.81,17740043.7,81289511.4,422181875
5.0,S,34,11.60,0.98,17740043.7,81289512.0,422181886
6.0,S,34,13.85,1.14,17740043.7,81289512.3,422181889
7.0,S,34,16.07,1.31,17740043.7,81289512.7,422181893
8.0,S,34,18.29,1.48,17740043.7,81289512.9,422181901
9.0,S,34,20.57,1.64,17740043.7,81289513.2,422181904
10.0,S,34,22.80,1.82,17740043.7,81289513.7,422181909
11.0,S,34,25.04,2.01,17740043.7,81289514.0,422181919
12.0,S,34,27.15,2.17,17740043.7,81289514.5,422181924
13.0,S,34,29.42,2.30,17740043.7,81289514.8,422181928
14.0,S,34,31.65,2.41,17740043.7,81289515.0,422181937
15.0,S,34,33.79,2.64,17740043.7,81289515.3,422181940
16.0,S,34,35.94,2.87,17740043.7,81289515.8,422181943
17.0,S,34,38.08,3.04,17740043.7,81289562.9,422182128
18.0,S,34,40.26,3.19,17740043.7,81289563.5,422182133
19.0,S,34,42.34,3.37,17740043.7,81289564.0,422182137
20.0,S,34,44.57,3.54,17740043.7,81289564.3,422182146
21.0,S,34,46.77,3.72,17740043.7,81289564.5,422182148
22.0,S,34,48.95,3.93,17740043.7,81289565.2,422182158
23.0,S,34,51.13,4.15,17740043.7,81289565.5,422182161
24.0,S,34,53.28,4.35,17740043.7,81289565.8,422182164
25.0,S,34,55.46,4.51,17740043.7,81289566.0,422182165
26.0,S,34,57.59,4.67,17740043.7,81289566.3,422182173
27.0,S,34,59.81,4.83,17740043.7,81289566.5,422182176
28.0,S,34,62.02,5.03,17740043.7,81289567.2,422182189
29.0,S,34,64.23,5.17,17740043.7,81289567.4,422182192
30.0,S,34,66.46,5.34,17740043.7,81289567.8,422182196
31.0,S,34,68.65,5.51,17740043.7,81289567.9,422182199
32.0,S,34,70.85,5.69,17740043.7,81289612.0,422182327
33.0,S,34,73.01,5.86,17740043.7,81289612.2,422182329
34.0,S,34,75.12,6.07,17740043.7,81289613.2,422182340
35.0,S,34,77.28,6.24,17740043.7,81289613.5,422182342
36.0,S,34,79.43,6.39,17740043.7,81289613.7,422182345
37.0,S,34,81.56,6.58,17740043.7,81289613.9,422182347
38.0,S,34,83.71,6.75,17740043.7,81289614.2,422182355
39.0,S,34,85.86,6.92,17740043.7,81289615.1,422182360
40.0,S,34,88.05,7.06,17740043.7,81289615.3,422182362
41.0,S,34,90.25,7.21,17740043.7,81289615.6,422182370
42.0,S,34,92.41,7.35,17740043.7,81289615.8,422182371
43.0,S,34,94.56,7.53,17740043.7,81289616.0,422182374
44.0,S,34,96.71,7.69,17740043.7,81289616.5,422182382
45.0,S,34,98.88,7.83,17740043.7,81289616.9,422182386
46.0,S,34,101.04,7.98,17740043.7,81289617.3,422182392
47.0,S,34,103.21,8.13,17740043.7,81289627.0,422182421
48.0,S,34,105.29,8.30,17740043.7,81289659.0,422182526
49.1,S,34,107.44,8.45,17740043.7,81289659.3,422182534
50.1,S,34,109.61,8.59,17740043.7,81289660.2,422182539
51.1,S,34,111.82,8.71,17740043.7,81289660.5,422182548
52.1,S,34,113.98,8.85,17740043.7,81289660.7,422182550
53.1,S,34,116.17,8.98,17740043.7,81289661.0,422182555
54.1,S,34,118.37,9.13,17740043.7,81289661.4,422182563
55.1,S,34,120.51,9.30,17740043.7,81289662.0,422182566
56.1,S,34,122.63,9.47,17740043.7,81289662.4,422182574
57.1,S,34,124.76,9.63,17740043.7,81289662.6,422182577
58.1,S,34,126.92,9.78,17740043.7,81289662.9,422182580
59.1,S,34,129.06,9.96,17740043.7,81289663.1,422182582
60.1,S,34,131.22,10.12,17740043.7,81289663.8,422182592
61.1,S,34,133.38,10.28,17740043.7,81289664.1,422182595
62.1,S,34,135.55,10.43,17740043.7,81289664.4,422182603
63.1,S,34,137.73,10.56,17740043.7,81289705.5,422182736
64.1,S,34,139.88,10.72,17740043.7,81289705.8,422182741
65.1,S,34,142.00,10.91,17740043.7,81289706.0,422182743
66.1,S,34,144.16,11.04,17740043.7,81289706.6,422182754
67.1,S,34,146.28,11.20,17740043.7,81289707.0,422182758
68.1,S,34,148.42,11.41,17740043.7,81289707.3,422182763
69.1,S,34,150.54,11.58,17740043.7,81289707.6,422182764
70.1,S,34,152.70,11.73,17740043.7,81289707.9,422182768
71.1,S,34,154.83,11.94,17740043.7,81289708.0,422182769
72.1,S,34,157.06,12.06,17740043.7,81289708.6,422182781
73.1,S,34,159.24,12.21,17740043.7,81289709.0,422182784
74.1,S,34,161.41,12.34,17740043.7,81289709.3,422182792
75.1,S,34,163.55,12.52,17740043.7,81289709.6,422182797
76.1,S,34,165.68,12.71,17740043.7,81289709.9,422182807
77.1,S,34,167.86,12.88,17740043.7,81289710.1,422182809
78.1,S,34,169.97,13.09,17740043.7,81289751.0,422182953
79.1,S,34,172.01,13.25,17740043.7,81289751.9,422182962
80.1,S,34,174.17,13.42,17740043.7,81289752.2,422182969
81.1,S,34,176.29,13.59,17740043.7,81289752.3,422182970
82.1,S,34,178.48,13.71,17740043.7,81289752.5,422182977
83.1,S,34,180.66,13.88,17740043.7,81289753.3,422182983
84.1,S,34,182.71,14.06,17740043.7,81289754.0,422182998
85.1,S,34,184.84,14.24,17740043.7,81289754.6,422183002
86.1,S,34,186.95,14.43,17740043.7,81289754.7,422183004
87.1,S,34,189.06,14.59,17740043.7,81289754.9,422183007
88.1,S,34,191.15,14.73,17740043.7,81289755.8,422183019
89.1,S,34,193.21,14.90,17740043.7,81289756.4,422183032
90.1,S,34,195.28,15.12,17740043.7,81289756.8,422183034
91.1,S,34,197.39,15.31,17740043.7,81289757.0,422183038
92.1,S,34,199.52,15.45,17740043.7,81289757.5,422183042
93.1,S,34,201.67,15.59,17740043.7,81289757.8,422183049
94.1,S,34,203.81,15.73,17740043.7,81289800.3,422183144
95.1,S,35,206.06,15.88,17740043.7,81289811.3,422183198
96.1,S,35,208.85,16.03,17740043.7,81289833.7,422183231
97.1,S,35,211.62,16.18,17740043.7,81289859.1,422183269
98.1,S,35,214.31,16.35,17740043.7,81289884.5,422183308
99.1,S,35,217.09,16.50,17740043.7,81289906.4,422183343
100.1,S,35,219.89,16.65,17740043.7,81289932.2,422183378
101.1,S,35,222.62,16.81,17740043.7,81289954.7,422183414
102.1,S,35,225.42,16.96,17740043.7,81289980.1,422183451
103.1,S,35,228.25,17.09,17740043.7,81290002.0,422183485
104.1,S,35,231.03,17.24,17740043.7,81290023.8,422183517
105.1,S,34,233.78,17.39,17740043.7,81290042.2,422183546
106.1,S,34,236.55,17.52,17740043.7,81290043.4,422183555
107.1,S,34,239.37,17.66,17740043.7,81290043.7,422183560
108.1,S,34,242.11,17.80,17740043.7,81290043.9,422183563
109.1,S,34,244.93,17.93,17740043.7,81290108.6,422183622
110.1,S,34,247.76,18.06,17740043.7,81290108.7,422183624
111.1,S,34,250.53,18.22,17740043.7,81290109.3,422183629
112.1,S,34,253.34,18.39,17740043.7,81290109.6,422183631
113.1,S,34,256.00,18.52,17740043.7,81290173.1,422183772
114.1,S,34,258.76,18.63,17740043.7,81290174.5,422183787
115.1,S,34,261.56,18.76,17740043.7,81290174.7,422183792
116.1,S,34,264.36,18.89,17740043.7,81290174.9,422183795
117.1,S,34,267.06,19.04,17740043.7,81290209.8,422183901
118.1,S,34,269.75,19.19,17740043.7,81290240.4,422184004
119.1,S,34,272.55,19.31,17740043.7,81290240.5,422184004
120.1,S,34,274.72,19.58,17740043.7,81290274.7,422184152
121.1,S,34,276.99,19.72,17740043.7,81290275.0,422184156
122.1,S,34,279.18,19.90,17740043.7,81290275.4,422184159
123.1,S,34,281.42,20.08,17740043.7,81290276.7,422184171
124.1,S,34,283.66,20.21,17740043.7,81290276.9,422184178
125.1,S,34,285.86,20.39,17740043.7,81290277.2,422184181
126.1,S,34,288.07,20.55,17740043.7,81290277.4,422184184
127.1,S,34,290.24,20.73,17740043.7,81290278.0,422184190
128.1,S,34,292.43,20.89,17740043.7,81290278.1,422184192
129.1,S,34,294.43,21.01,17740043.7,81290340.0,422184372
130.1,S,34,296.44,21.17,17740043.7,81290392.9,422184614
131.1,S,34,298.61,21.34,17740043.7,81290393.1,422184614
132.1,S,34,300.79,21.53,17740043.7,81290393.2,422184622
133.1,S,34,303.04,21.65,17740043.7,81290393.7,422184627
134.1,S,34,305.20,21.86,17740043.7,81290393.8,422184628
135.1,S,34,307.39,21.98,17740043.7,81290423.0,422184747
136.1,S,34,309.55,22.13,17740043.7,81290423.4,422184752
137.1,S,34,311.72,22.31,17740043.7,81290423.6,422184755
138.1,S,34,313.90,22.49,17740043.7,81290423.8,422184763
139.1,S,34,315.96,22.69,17740043.7,81290424.4,422184767
140.1,S,34,318.00,22.83,17740043.7,81290424.9,422184775
141.1,S,34,320.21,22.98,17740043.7,81290425.1,422184778
142.1,S,34,322.39,23.12,17740043.7,81290425.3,422184781
143.1,S,34,324.49,23.33,17740043.7,81290425.6,422184782
144.1,S,34,326.66,23.50,17740043.7,81290426.3,422184785
145.1,S,34,328.80,23.67,17740043.7,81290453.5,422184876
146.1,S,34,331.00,23.85,17740043.7,81290454.0,422184897
147.1,S,34,333.20,24.01,17740043.7,81290454.2,422184900
148.1,S,34,335.28,24.22,17740043.7,81290454.4,422184903
149.1,S,34,337.43,24.37,17740043.7,81290454.6,422184910
150.1,S,34,339.56,24.53,17740043.7,81290485.0,422185018
151.1,S,34,341.72,24.66,17740043.7,81290485.3,422185029
152.1,S,34,343.88,24.81,17740043.7,81290485.7,422185033
153.1,S,34,346.01,24.98,17740043.7,81290486.0,422185036
154.2,S,34,348.16,25.14,17740043.7,81290486.2,422185044
155.2,S,34,350.24,25.36,17740043.7,81290519.2,422185133
156.2,S,34,352.44,25.52,17740043.7,81290519.3,422185136
157.2,S,34,354.59,25.67,17740043.7,81290519.8,422185145
158.2,S,34,356.76,25.83,17740043.7,81290520.0,422185149
159.2,S,34,358.94,25.97,17740043.7,81290520.3,422185152
160.2,S,34,361.09,26.14,17740043.7,81290520.5,422185157
161.2,S,34,363.26,26.31,17740043.7,81290521.1,422185161
162.2,S,34,365.44,26.51,17740043.7,81290521.2,422185163
163.2,S,34,367.59,26.67,17740043.7,81290521.6,422185166
164.2,S,34,369.72,26.85,17740043.7,81290521.7,422185168
165.2,S,34,371.82,27.05,17740043.7,81290522.1,422185175
166.2,S,34,373.92,27.23,17740043.7,81290522.5,422185178
167.2,S,34,376.06,27.40,17740043.7,81290522.7,422185181
168.2,S,34,378.24,27.53,17740043.7,81290523.0,422185188
169.2,S,34,380.40,27.67,17740043.7,81290523.3,422185193
170.2,S,34,382.50,27.84,17740043.7,81290523.5,422185198
171.2,S,34,384.57,28.06,17740043.7,81290571.8,422185380
172.2,S,34,386.70,28.22,17740043.7,81290572.0,422185381
173.2,S,34,388.79,28.43,17740043.7,81290572.2,422185383
174.2,S,34,390.96,28.57,17740043.7,81290572.5,422185384
175.2,S,34,393.10,28.73,17740043.7,81290572.8,422185394
176.2,S,34,395.23,28.89,17740043.7,81290573.3,422185398
177.2,S,34,397.35,29.05,17740043.7,81290573.5,422185404
178.2,S,34,399.51,29.17,17740043.7,81290573.7,422185406
179.2,S,34,401.64,29.34,17740043.7,81290574.1,422185415
