t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17750000.4,84008497.2,429823246
1.0,S,34,3.27,0.56,17750000.4,84008498.5,429823265
2.0,S,34,6.30,0.96,17750000.4,84008499.0,429823267
3.0,S,34,9.32,1.32,17750000.4,84008499.1,429823269
4.0,S,34,12.33,1.63,17750000.4,84008499.3,429823272
5.0,S,34,15.34,1.98,17750000.4,84008499.4,429823274
6.0,S,34,18.26,2.30,17750000.4,84008499.6,429823276
7.0,S,34,21.14,2.63,17750000.4,84008499.8,429823278
8.0,S,34,24.02,2.96,17750000.4,84008501.0,429823293
9.0,S,34,26.92,3.28,17750000.4,84008501.1,429823295
10.0,S,34,29.77,3.58,17750000.4,84008530.0,429823323
11.0,S,34,32.63,3.91,17750000.4,84008530.1,429823324
12.0,S,34,35.52,4.25,17750000.4,84008530.2,429823327
13.0,S,34,38.35,4.60,17750000.4,84008530.7,429823329
14.0,S,34,41.17,4.93,17750000.4,84008531.3,429823336
15.0,S,34,44.00,5.28,17750000.4,84008531.5,429823341
16.0,S,34,46.77,5.63,17750000.4,84008531.7,429823343
17.0,S,34,49.60,5.93,17750000.4,84008531.9,429823345
18.0,S,34,52.41,6.24,17750000.4,84008532.2,429823349
19.0,S,34,55.20,6.57,17750000.4,84008532.7,429823352
20.0,S,34,58.00,6.91,17750000.4,84008532.9,429823354
21.0,S,34,60.78,7.25,17750000.4,84008533.0,429823355
22.0,S,34,63.59,7.56,17750000.4,84008533.2,429823358
23.0,S,34,66.35,7.93,17750000.4,84008533.5,429823360
24.0,S,34,69.15,8.26,17750000.4,84008533.9,429823363
25.0,S,34,71.90,8.62,17750000.4,84008573.9,429823400
26.0,S,34,74.68,8.93,17750000.4,84008574.2,429823402
27.0,S,34,77.37,9.28,17750000.4,84008574.3,429823403
28.0,S,34,80.08,9.61,17750000.4,84008574.5,429823407
29.0,S,34,82.83,9.93,17750000.4,84008574.7,429823409
30.0,S,34,85.62,10.25,17750000.4,84008575.2,429823413
31.0,S,34,88.35,10.63,17750000.4,84008575.3,429823416
32.0,S,34,91.08,10.98,17750000.4,84008575.5,429823419
33.0,S,34,93.79,11.31,17750000.4,84008575.6,429823419
34.0,S,34,96.53,11.66,17750000.4,84008575.8,429823422
35.0,S,34,99.30,11.99,17750000.4,84008576.3,429823424
36.0,S,34,102.05,12.33,17750000.4,84008576.6,429823428
37.0,S,34,104.83,12.63,17750000.4,84008576.7,429823430
38.0,S,34,107.59,12.96,17750000.4,84008576.9,429823432
39.0,S,34,110.30,13.28,17750000.4,84008577.0,429823434
40.0,S,34,113.00,13.61,17750000.4,84008615.3,429823469
41.0,S,34,115.71,13.97,17750000.4,84008615.6,429823471
42.0,S,34,118.51,14.29,17750000.4,84008615.8,429823474
43.0,S,34,121.19,14.63,17750000.4,84008616.1,429823478
44.0,S,34,123.98,14.92,17750000.4,84008616.3,429823481
45.0,S,34,126.73,15.19,17750000.4,84008616.6,429823485
46.0,S,34,129.39,15.54,17750000.4,84008617.3,429823491
47.0,S,34,132.06,15.86,17750000.4,84008617.8,429823493
48.0,S,34,134.73,16.20,17750000.4,84008618.0,429823493
49.1,S,34,137.45,16.50,17750000.4,84008618.1,429823496
50.1,S,34,140.11,16.84,17750000.4,84008618.4,429823499
51.1,S,34,142.75,17.20,17750000.4,84008618.5,429823502
52.1,S,34,145.51,17.51,17750000.4,84008619.1,429823507
53.1,S,34,148.17,17.85,17750000.4,84008619.3,429823509
54.1,S,34,150.88,18.17,17750000.4,84008619.4,429823510
55.1,S,34,153.62,18.48,17750000.4,84008619.6,429823512
56.1,S,34,156.33,18.84,17750000.4,84008619.8,429823516
57.1,S,34,159.05,19.15,17750000.4,84008661.5,429823553
58.1,S,34,161.71,19.50,17750000.4,84008661.8,429823557
59.1,S,34,164.42,19.79,17750000.4,84008661.9,429823560
60.1,S,34,167.05,20.15,17750000.4,84008662.1,429823563
61.1,S,34,169.71,20.46,17750000.4,84008690.3,429823595
62.1,S,34,172.34,20.77,17750000.4,84008690.9,429823598
63.1,S,34,175.02,21.08,17750000.4,84008691.3,429823600
64.1,S,34,177.59,21.43,17750000.4,84008691.4,429823602
65.1,S,34,180.21,21.76,17750000.4,84008691.6,429823604
66.1,S,34,182.77,22.12,17750000.4,84008691.8,429823604
67.1,S,34,185.38,22.51,17750000.4,84008692.0,429823608
68.1,S,34,188.06,22.80,17750000.4,84008692.4,429823611
69.1,S,34,190.73,23.09,17750000.4,84008692.7,429823615
70.1,S,34,193.42,23.37,17750000.4,84008692.8,429823617
71.1,S,34,196.13,23.65,17750000.4,84008693.0,429824132
72.1,S,34,198.86,23.93,17750000.4,84008693.2,429824133
73.1,S,34,201.51,24.24,17750000.4,84008729.0,429824169
74.1,S,34,204.20,24.52,17750000.4,84008729.3,429824171
75.1,S,34,206.87,24.78,17750000.4,84008729.7,429824173
76.1,S,34,209.50,25.10,17750000.4,84008730.0,429824174
77.1,S,34,212.16,25.39,17750000.4,84008730.2,429824179
78.1,S,34,214.80,25.69,17750000.4,84008730.3,429824182
79.1,S,34,217.46,25.99,17750000.4,84008730.5,429824186
80.1,S,34,220.15,26.29,17750000.4,84008731.2,429824188
81.1,S,34,222.84,26.61,17750000.4,84008731.6,429824194
82.1,S,34,225.47,26.91,17750000.4,84008731.8,429824195
83.1,S,34,228.11,27.26,17750000.4,84008731.9,429824200
84.1,S,34,230.81,27.56,17750000.4,84008732.1,429824201
85.1,S,34,233.50,27.84,17750000.4,84008732.3,429824205
86.1,S,34,236.15,28.17,17750000.4,84008732.7,429824207
87.1,S,34,238.80,28.47,17750000.4,84008733.0,429824211
88.1,S,34,241.40,28.79,17750000.4,84008768.6,429824242
89.1,S,34,244.05,29.12,17750000.4,84008768.8,429824244
90.1,S,34,246.73,29.43,17750000.4,84008769.1,429824249
91.1,S,34,249.39,29.72,17750000.4,84008769.8,429824252
92.1,S,34,252.09,30.02,17750000.4,84008769.9,429824254
93.1,S,34,254.72,30.35,17750000.4,84008770.1,429824256
94.1,S,34,257.44,30.62,17750000.4,84008770.3,429824257
95.1,S,34,260.07,30.93,17750000.4,84008770.5,429824261
96.1,S,34,262.68,31.25,17750000.4,84008770.9,429824264
97.1,S,34,265.25,31.55,17750000.4,84008771.2,429824266
98.1,S,34,267.84,31.84,17750000.4,84008771.3,429824269
99.1,S,34,270.52,32.15,17750000.4,84008771.5,429824272
100.1,S,34,273.16,32.48,17750000.4,84008771.6,429824274
101.1,S,34,275.87,32.80,17750000.4,84008772.2,429824279
102.1,S,34,278.50,33.11,17750000.4,84008772.3,429824282
103.1,S,34,281.12,33.41,17750000.4,84008807.5,429824314
104.1,S,34,283.63,33.75,17750000.4,84008807.9,429824321
105.1,S,34,288.77,34.15,17750000.4,84008866.3,429824378
106.1,S,34,291.49,34.44,17750000.4,84008866.5,429824380
107.1,S,34,294.21,34.75,17750000.4,84008867.1,429824384
108.1,S,34,296.94,35.05,17750000.4,84008867.4,429824386
109.1,S,34,299.68,35.32,17750000.4,84008867.6,429824389
110.1,S,34,302.30,35.69,17750000.4,84008867.7,429824391
111.1,S,34,305.04,35.99,17750000.4,84008868.0,429824396
112.1,S,34,307.80,36.29,17750000.4,84008868.5,429824403
113.1,S,34,310.48,36.63,17750000.4,84008868.6,429824404
114.1,S,34,313.14,36.91,17750000.4,84008868.8,429824406
115.1,S,34,315.79,37.21,17750000.4,84008869.0,429824408
116.1,S,34,318.42,37.53,17750000.4,84008869.1,429824410
117.1,S,34,321.10,37.80,17750000.4,84008869.3,429824414
118.1,S,34,323.86,38.08,17750000.4,84008869.5,429824415
119.1,S,34,326.53,38.39,17750000.4,84008869.9,429824418
120.1,S,34,329.18,38.72,17750000.4,84008870.3,429824423
121.1,S,34,331.89,39.03,17750000.4,84008870.3,429824424
122.1,S,34,334.56,39.35,17750000.4,84008870.5,429824426
123.1,S,34,337.16,39.70,17750000.4,84008870.7,429824429
124.1,S,34,339.86,39.99,17750000.4,84008920.0,429824471
125.1,S,34,342.57,40.29,17750000.4,84008920.5,429824474
126.1,S,34,345.33,40.57,17750000.4,84008921.0,429824478
127.1,S,34,347.98,40.87,17750000.4,84008921.0,429824478
128.1,S,34,350.68,41.15,17750000.4,84008921.1,429824479
129.1,S,34,353.40,41.42,17750000.4,84008921.3,429824481
130.1,S,34,356.14,41.72,17750000.4,84008921.7,429824483
131.1,S,34,358.78,42.05,17750000.4,84008923.2,429824490
132.1,S,34,365.09,42.43,17750000.4,84008997.3,429824579
133.1,S,35,369.80,42.76,17750000.4,84008997.4,429824579
134.1,S,35,374.56,43.05,17750000.4,84008997.5,429824581
135.1,S,35,379.31,43.32,17750000.4,84008997.7,429824585
136.1,S,35,384.06,43.60,17750000.4,84009011.5,429824599
137.1,S,34,387.18,43.95,17750000.4,84009125.2,429824806
138.1,S,34,389.89,44.28,17750000.4,84009125.7,429824811
139.1,S,34,392.66,44.57,17750000.4,84009125.7,429824812
140.1,S,34,395.35,44.89,17750000.4,84009125.9,429824814
141.1,S,34,397.95,45.27,17750000.4,84009126.4,429824818
142.1,S,34,400.68,45.62,17750000.4,84009126.6,429824821
143.1,S,34,403.44,45.92,17750000.4,84009127.1,429824823
144.1,S,34,406.18,46.19,17750000.4,84009127.4,429824831
145.1,S,34,408.90,46.54,17750000.4,84009127.4,429824832
146.1,S,34,411.65,46.87,17750000.4,84009127.8,429824834
147.1,S,34,414.32,47.17,17750000.4,84009128.0,429824838
148.1,S,34,417.04,47.47,17750000.4,84009128.4,429824851
149.2,S,34,419.71,47.79,17750000.4,84009128.7,429824855
150.2,S,34,422.43,48.11,17750000.4,84009129.0,429824867
151.2,S,34,425.11,48.43,17750000.4,84009129.1,429824867
152.2,S,34,427.80,48.76,17750000.4,84009129.5,429824867
153.2,S,34,430.49,49.06,17750000.4,84009129.7,429824869
154.2,S,34,433.08,49.37,17750000.4,84009157.8,429824944
155.2,S,34,435.58,49.70,17750000.4,84009194.0,429825059
156.2,S,34,438.29,50.03,17750000.4,84009194.3,429825073
157.2,S,34,440.97,50.35,17750000.4,84009194.6,429825074
158.2,S,34,443.61,50.66,17750000.4,84009194.8,429825077
159.2,S,34,446.26,51.00,17750000.4,84009195.0,429825081
160.2,S,38,449.66,51.30,17750000.4,84009198.8,429825102
161.2,S,38,455.40,51.60,17750000.4,84009271.5,429825346
162.2,S,37,461.63,51.92,17750000.4,84009285.2,429825411
163.2,S,36,467.77,52.27,17750000.4,84009303.9,429825469
164.2,S,36,473.59,52.60,17750000.4,84009304.1,429825472
165.2,S,36,479.37,52.92,17750000.4,84009330.0,429825546
166.2,S,36,482.79,53.18,17750000.4,84009506.2,429826181
167.2,S,34,485.47,53.57,17750000.4,84009525.1,429826301
168.2,S,34,488.10,53.91,17750000.4,84009525.2,429826302
169.2,S,34,490.77,54.22,17750000.4,84009525.7,429826306
170.2,S,34,493.53,54.50,17750000.4,84009525.9,429826308
171.2,S,34,496.24,54.81,17750000.4,84009526.4,429826316
172.2,S,34,498.98,55.13,17750000.4,84009526.6,429826317
173.2,S,34,501.66,55.44,17750000.4,84009526.7,429826319
174.2,S,34,504.40,55.75,17750000.4,84009527.1,429826322
175.2,S,34,507.11,56.07,17750000.4,84009527.3,429826325
176.2,S,34,509.78,56.36,17750000.4,84009527.6,429826328
177.2,S,34,512.48,56.62,17750000.4,84009527.8,429826334
178.2,S,34,515.22,56.91,17750000.4,84009528.0,429826337
179.2,S,34,517.91,57.23,17750000.4,84009528.1,429826340
180.2,S,34,520.63,57.55,17750000.4,84009528.6,429826349
181.2,S,34,523.37,57.81,17750000.4,84009528.7,429826352
182.2,S,34,526.12,58.12,17750000.4,84009529.1,429826356
183.2,S,34,528.84,58.42,17750000.4,84009529.2,429826364
184.2,S,34,531.52,58.74,17750000.4,84009529.5,429826366
185.2,S,34,534.25,59.05,17750000.4,84009529.8,429826369
186.2,S,34,536.95,59.32,17750000.4,84009572.5,429826568
187.2,S,34,539.64,59.59,17750000.4,84009572.8,429826578
188.2,S,34,542.33,59.89,17750000.4,84009573.1,429826579
189.2,S,34,544.97,60.20,17750000.4,84009573.2,429826586
190.2,S,34,547.63,60.53,17750000.4,84009573.4,429826589
191.2,S,34,550.26,60.85,17750000.4,84009594.7,429826675
192.2,S,34,552.93,61.13,17750000.4,84009594.9,429826677
193.2,S,34,555.60,61.42,17750000.4,84009595.0,429826679
194.2,S,34,558.22,61.78,17750000.4,84009595.4,429826688
195.2,S,34,560.86,62.08,17750000.4,84009595.6,429826693
196.2,S,34,563.45,62.42,17750000.4,84009614.5,429826764
197.2,S,34,566.03,62.76,17750000.4,84009614.6,429826766
198.2,S,38,569.92,63.12,17750000.4,84009622.2,429826814
199.2,S,38,576.09,63.45,17750000.4,84009664.2,429826987
200.2,S,38,582.53,63.78,17750000.5,84009727.6,429827165
201.2,S,38,590.39,64.09,17750000.5,84009728.2,429827169
202.2,S,38,598.20,64.41,17750000.5,84009728.4,429827174
203.2,S,38,606.05,64.72,17750000.5,84009728.7,429827179
204.2,S,35,612.25,65.13,17750000.5,84009981.6,429827392
205.2,S,34,615.05,65.57,17750000.5,84010046.6,429827450
206.2,S,34,617.77,65.87,17750000.5,84010046.8,429827455
