t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17747551.6,83332894.2,427760795
1.0,S,34,6.71,1.10,17747552.1,83332895.3,427760821
2.0,S,34,14.46,2.50,17747552.1,83332895.8,427760826
3.0,S,34,22.15,3.97,17747552.1,83332896.4,427760830
4.0,S,34,29.96,5.33,17747552.1,83332896.6,427760834
5.0,S,34,37.96,6.72,17747552.1,83332896.9,427760839
6.0,S,34,45.77,8.17,17747552.1,83332961.4,427761036
7.0,S,34,53.38,9.46,17747552.1,83332961.7,427761041
8.0,S,34,61.28,10.75,17747552.1,83332962.0,427761041
9.0,S,34,69.14,11.96,17747552.1,83332962.4,427761048
10.0,S,34,76.95,13.40,17747552.1,83332962.6,427761048
11.0,S,34,84.00,14.51,17747552.1,83333057.6,427761392
12.0,S,34,91.66,15.75,17747552.1,83333057.8,427761393
13.0,S,34,99.53,17.17,17747552.1,83333058.3,427761401
14.0,S,34,107.18,18.45,17747552.1,83333058.4,427761403
15.0,S,34,114.87,19.85,17747552.1,83333059.0,427761407
16.0,S,34,122.41,21.24,17747552.1,83333059.1,427761409
17.0,S,34,130.13,22.59,17747552.1,83333059.7,427761420
18.0,S,34,136.23,23.57,17747552.1,83333111.1,427761620
19.0,S,42,145.93,24.94,17747552.1,83333203.6,427761958
20.0,S,41,157.49,26.32,17747552.1,83333316.6,427762405
21.0,S,37,166.33,27.49,17747552.1,83333386.1,427762772
22.0,S,37,177.84,29.08,17747552.1,83333386.3,427762775
23.0,S,36,189.18,30.62,17747552.1,83333417.3,427762804
24.0,S,36,199.75,32.03,17747552.1,83333417.6,427762806
25.0,S,35,210.15,33.45,17747552.1,83333549.1,427762920
26.0,S,34,218.12,34.83,17747552.1,83333614.6,427762978
27.0,S,34,225.74,36.17,17747552.1,83333614.7,427762980
28.0,S,34,233.63,37.49,17747552.1,83333614.9,427762983
29.0,S,34,241.45,38.92,17747552.1,83333615.1,427762985
30.0,S,34,249.38,40.22,17747552.1,83333615.7,427762990
31.0,S,34,257.00,41.47,17747552.1,83333616.2,427762991
32.0,S,34,264.93,42.71,17747552.1,83333616.4,427762992
33.0,S,34,272.77,43.95,17747552.1,83333616.9,427762998
34.0,S,34,280.48,45.31,17747552.1,83333617.3,427763001
35.0,S,34,288.32,46.55,17747552.1,83333617.5,427763004
36.0,S,34,295.95,47.87,17747552.1,83333617.7,427763004
37.0,S,34,297.49,48.31,17747552.1,83333814.7,427763770
38.0,S,42,304.74,49.29,17747552.1,83333875.7,427764286
39.0,S,40,315.76,50.54,17747552.1,83334015.3,427764782
40.0,S,35,324.95,52.02,17747552.1,83334102.6,427765017
41.0,S,34,333.82,53.50,17747552.1,83334113.6,427765048
42.0,S,34,342.51,54.85,17747552.1,83334114.6,427765055
43.0,S,34,351.45,56.18,17747552.1,83334114.9,427765057
44.0,S,35,360.18,57.55,17747552.1,83334178.6,427765225
45.0,S,34,369.45,58.98,17747552.1,83334192.1,427765268
46.0,S,34,378.16,60.45,17747552.1,83334192.2,427765271
47.0,S,34,386.99,61.68,17747552.1,83334192.5,427765281
48.0,S,34,395.82,63.03,17747552.1,83334193.2,427765285
49.0,S,35,404.73,64.43,17747552.1,83334257.3,427765571
50.0,S,34,413.70,65.82,17747552.1,83334269.8,427765613
51.0,S,34,422.46,67.16,17747552.1,83334270.1,427765616
52.0,S,34,431.11,68.43,17747552.1,83334270.4,427765626
53.0,S,34,439.49,69.85,17747552.1,83334335.0,427765822
54.0,S,34,448.32,71.24,17747552.1,83334335.1,427765825
55.0,S,34,456.09,72.31,17747552.1,83334380.3,427765965
56.0,S,43,463.50,73.09,17747552.1,83334642.2,427766569
57.0,S,38,479.55,74.88,17747552.1,83334825.8,427766729
58.0,S,35,489.32,76.32,17747552.1,83334869.8,427766767
59.0,S,35,499.09,77.66,17747552.1,83334870.9,427766771
60.1,S,35,508.81,79.04,17747552.1,83334871.1,427766772
61.1,S,35,517.81,80.51,17747552.1,83334999.4,427766888
62.1,S,34,527.22,81.74,17747552.1,83335009.9,427766903
63.1,S,34,535.75,83.18,17747552.1,83335010.1,427766905
64.1,S,34,544.34,84.62,17747552.1,83335011.0,427766908
65.1,S,34,553.08,85.89,17747552.1,83335073.8,427766972
66.1,S,34,562.81,87.24,17747552.1,83335086.1,427766985
67.1,S,34,571.40,88.55,17747552.1,83335086.5,427766990
