t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17932058.1,90707473.5,443328312
1.0,S,47,9.70,4.39,17932058.1,90707474.7,443328328
2.0,S,47,20.43,9.45,17932058.1,90707474.9,443328328
3.0,S,47,31.16,14.55,17932058.1,90707475.0,443328328
4.0,S,47,41.88,19.70,17932058.1,90707475.7,443328330
5.0,S,47,52.67,24.73,17932058.1,90707475.8,443328331
6.0,S,47,62.67,29.46,17932058.1,90707540.7,443328394
7.0,S,47,73.35,34.66,17932058.1,90707541.2,443328402
8.0,S,47,82.94,39.42,17932058.1,90707649.5,443328509
9.0,S,47,93.77,44.42,17932058.1,90707650.1,443328511
10.0,S,47,103.40,49.07,17932058.1,90707751.0,443328600
11.0,S,47,114.07,54.23,17932058.1,90707751.2,443328602
12.0,S,47,123.43,58.80,17932058.1,90707876.5,443328715
13.0,S,47,134.06,64.01,17932058.1,90707876.9,443328719
14.0,S,47,144.68,69.27,17932058.1,90707877.2,443328723
15.0,S,51,155.89,74.02,17932058.1,90707970.3,443328804
16.0,S,51,170.34,79.47,17932058.1,90707970.8,443328809
17.0,S,47,181.75,84.49,17932058.1,90708138.7,443328956
18.0,S,51,195.21,89.20,17932058.1,90708217.2,443329034
19.0,S,51,209.07,94.09,17932058.1,90708384.8,443329180
20.0,S,55,223.98,98.80,17932058.1,90708489.4,443329273
21.0,S,55,243.90,103.84,17932058.1,90708490.6,443329276
22.0,S,54,262.98,108.55,17932058.1,90708633.4,443329397
23.0,S,51,278.84,112.90,17932058.1,90708786.4,443329532
24.0,S,49,294.17,118.24,17932058.1,90708970.7,443329691
25.0,S,47,306.57,123.41,17932058.1,90709100.1,443329803
26.0,S,51,318.54,128.11,17932058.1,90709201.3,443329894
27.0,S,51,334.24,133.33,17932058.1,90709202.3,443329895
28.0,S,51,349.79,138.58,17932058.1,90709225.3,443329918
29.0,S,47,361.12,142.87,17932058.1,90709519.0,443330168
30.0,S,47,373.84,147.99,17932058.1,90709519.3,443330173
31.0,S,47,386.51,153.16,17932058.1,90709520.1,443330176
32.0,S,47,397.99,157.94,17932058.1,90709624.2,443330266
33.0,S,47,410.58,163.17,17932058.1,90709624.4,443330268
34.0,S,47,421.68,168.17,17932058.1,90709916.9,443330524
35.0,S,47,433.50,173.21,17932058.1,90709917.4,443330528
36.0,S,47,444.27,177.96,17932058.1,90710011.8,443330614
37.0,S,51,459.63,183.25,17932058.1,90710020.0,443330623
38.0,S,51,474.94,188.85,17932058.1,90710068.0,443330665
39.0,S,51,486.98,193.53,17932058.1,90710311.9,443330881
40.0,S,51,504.27,198.14,17932058.1,90710312.2,443330886
41.0,S,51,520.91,202.96,17932058.1,90710394.3,443330955
42.0,S,47,532.52,207.54,17932058.1,90710819.8,443331323
43.0,S,47,545.11,212.84,17932058.1,90710821.1,443331327
44.0,S,47,557.99,217.80,17932058.1,90710821.4,443331331
45.0,S,55,575.77,222.57,17932058.1,90710924.3,443331421
46.0,S,55,597.03,227.22,17932058.1,90710924.6,443331423
47.0,S,49,614.26,231.76,17932058.1,90711306.8,443331747
48.0,S,47,626.98,236.42,17932058.1,90711409.6,443331842
49.0,S,47,640.69,241.58,17932058.1,90711410.5,443331843
50.0,S,47,652.37,246.56,17932058.1,90711701.5,443332092
51.0,S,47,665.21,251.61,17932058.1,90711701.7,443332094
52.0,S,47,677.64,257.04,17932058.1,90711702.0,443332098
53.0,S,47,689.14,261.77,17932058.1,90711805.1,443332190
54.0,S,47,700.85,266.99,17932058.1,90711996.2,443332367
55.0,S,47,711.47,271.64,17932058.1,90712099.5,443332453
56.0,S,47,723.24,276.77,17932058.1,90712099.8,443332457
57.0,S,47,735.01,281.84,17932058.1,90712100.2,443332464
58.0,S,51,748.47,286.24,17932058.1,90712203.0,443332557
59.0,S,51,764.16,291.49,17932058.1,90712203.2,443332558
60.0,S,47,777.67,296.41,17932058.1,90712394.2,443332724
61.0,S,51,792.81,301.02,17932058.1,90712497.3,443332815
