t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17771879.2,85448950.9,433758749
1.0,S,42,9.40,4.43,17771879.2,85448952.5,433758766
2.0,S,42,20.12,9.55,17771879.2,85449002.2,433758919
3.0,S,42,30.84,14.64,17771879.2,85449002.8,433758933
4.0,S,42,41.48,19.87,17771879.2,85449003.3,433758938
5.0,S,42,51.96,25.20,17771879.2,85449006.1,433758975
6.0,S,42,62.65,30.35,17771879.2,85449006.5,433758977
7.0,S,42,71.78,34.52,17771879.2,85449086.7,433759202
8.0,S,42,80.23,38.64,17771879.2,85449155.2,433759406
9.0,S,42,90.97,43.76,17771879.2,85449155.4,433759410
10.0,S,42,100.54,48.50,17771879.2,85449246.5,433759513
11.0,S,42,111.32,53.52,17771879.2,85449247.3,433759519
12.0,S,42,121.77,58.43,17771879.2,85449279.4,433759551
13.0,S,42,131.67,63.06,17771879.2,85449362.6,433759650
14.0,S,42,142.38,68.23,17771879.2,85449362.7,433759652
15.0,S,42,151.64,72.72,17771879.2,85449404.8,433759784
16.0,S,46,164.53,77.42,17771879.2,85449455.9,433759889
17.0,S,43,178.35,82.62,17771879.2,85449602.4,433760028
18.0,S,45,188.79,86.88,17771879.2,85449703.1,433760176
19.0,S,45,202.60,91.98,17771879.2,85449703.3,433760177
20.0,S,43,213.57,96.61,17771879.2,85449829.1,433760373
21.0,S,43,223.65,100.89,17771879.2,85449933.5,433760526
22.0,S,46,237.13,106.08,17771879.2,85449976.3,433760565
23.0,S,46,252.36,111.33,17771879.2,85450006.2,433760596
24.0,S,54,274.59,116.27,17771879.2,85450082.3,433760666
25.0,S,54,298.73,121.06,17771879.2,85450082.5,433760673
26.0,S,53,322.88,125.63,17771879.2,85450146.5,433760728
27.0,S,50,330.66,126.73,17771879.2,85450702.6,433761598
28.0,S,53,342.37,131.20,17771879.2,85450900.2,433761854
29.0,S,52,364.51,136.38,17771879.2,85450906.5,433761864
30.0,S,52,386.40,141.47,17771879.2,85450906.6,433761866
31.0,S,52,407.32,145.75,17771879.2,85451009.3,433761976
32.0,S,52,429.83,150.16,17771879.2,85451010.2,433761982
33.0,S,51,451.83,154.95,17771879.2,85451140.1,433762098
34.0,S,48,462.64,157.57,17771879.2,85451489.7,433762743
35.0,S,42,469.90,160.90,17771879.2,85451826.8,433763170
36.0,S,42,480.59,166.01,17771879.2,85451827.0,433763170
37.0,S,42,490.21,170.39,17771879.2,85451930.1,433763278
38.0,S,42,501.13,175.36,17771879.2,85451931.4,433763280
39.0,S,42,511.80,180.52,17771879.2,85451931.6,433763283
40.0,S,46,524.70,185.00,17771879.2,85452034.5,433763376
41.0,S,46,539.44,190.17,17771879.2,85452034.8,433763380
42.0,S,47,551.92,194.88,17771879.2,85452225.8,433763576
43.0,S,50,570.12,199.58,17771879.2,85452329.3,433763670
44.0,S,50,589.80,204.84,17771879.2,85452329.7,433763671
45.0,S,49,608.63,210.16,17771879.2,85452426.0,433763754
46.0,S,48,625.40,214.92,17771879.2,85452577.6,433763900
47.0,S,46,641.63,220.08,17771879.2,85452736.2,433764075
48.0,S,47,654.09,225.48,17771879.2,85453011.5,433764370
49.0,S,55,674.38,230.08,17771879.2,85453114.9,433764470
50.0,S,55,699.48,234.90,17771879.2,85453116.6,433764474
51.0,S,54,723.39,239.79,17771879.2,85453165.2,433764534
52.0,S,50,741.09,243.82,17771879.2,85453488.5,433765095
53.0,S,46,756.41,248.02,17771879.2,85453662.9,433765249
54.0,S,53,771.16,252.83,17771879.2,85453988.1,433765541
55.0,S,53,794.09,257.82,17771879.2,85453989.3,433765545
56.0,S,53,815.97,262.17,17771879.2,85454092.6,433765647
57.0,S,53,839.17,266.91,17771879.2,85454092.8,433765648
58.0,S,53,862.34,271.72,17771879.2,85454093.2,433765650
59.0,S,48,878.90,275.38,17771879.2,85454573.4,433766083
60.0,S,42,890.85,280.14,17771879.2,85454961.5,433766825
61.0,S,42,902.69,285.09,17771879.2,85454962.9,433766831
62.0,S,42,911.46,288.82,17771879.2,85455066.3,433767099
63.0,S,42,923.39,293.75,17771879.2,85455066.9,433767103
64.0,S,42,935.12,298.80,17771879.2,85455131.7,433767170
65.0,S,46,948.88,303.36,17771879.2,85455234.4,433767271
66.0,S,46,964.93,308.20,17771879.2,85455234.8,433767276
67.0,S,42,976.06,311.99,17771879.2,85455507.4,433767641
68.0,S,45,990.68,316.66,17771879.2,85455593.1,433767721
69.0,S,45,1005.27,321.99,17771879.2,85455593.5,433767724
70.0,S,43,1016.51,326.58,17771879.2,85455839.3,433767939
71.0,S,43,1029.30,331.61,17771879.2,85455839.6,433767941
72.0,S,42,1041.36,336.79,17771879.2,85455888.3,433768008
73.1,S,50,1058.43,341.04,17771879.2,85456056.8,433768180
74.1,S,50,1078.50,345.87,17771879.2,85456057.1,433768184
75.1,S,42,1092.29,350.39,17771879.2,85456438.4,433768517
76.1,S,42,1102.70,355.23,17771879.2,85456541.1,433768617
